+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | No._overal | No._in_sea | Title     | Directed_ | Written_b | Original_ | Descripti |
|            | l          | son        |           | by        | y         | release_d | on        |
|            |            |            |           |           |           | ate       |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 14         | 1          | "AKA      | Anna      | Melissa   | March 8,  | Super-    |
| .wikipedia |            |            | Start at  | Foerster  | Rosenberg | 2018      | powered   |
| .org/wiki/ |            |            | the Begin |           |           |           | private i |
| Jessica_Jo |            |            | ning"     |           |           |           | nvestigat |
| nes_(seaso |            |            |           |           |           |           | or        |
| n_2)       |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | Jones has |
|            |            |            |           |           |           |           | become    |
|            |            |            |           |           |           |           | known as  |
|            |            |            |           |           |           |           | a         |
|            |            |            |           |           |           |           | vigilante |
|            |            |            |           |           |           |           | hero      |
|            |            |            |           |           |           |           | around    |
|            |            |            |           |           |           |           | New York  |
|            |            |            |           |           |           |           | City      |
|            |            |            |           |           |           |           | since she |
|            |            |            |           |           |           |           | killed    |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | tormentor |
|            |            |            |           |           |           |           | Kilgrave. |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | Walker,   |
|            |            |            |           |           |           |           | Jones's   |
|            |            |            |           |           |           |           | best      |
|            |            |            |           |           |           |           | friend    |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | adopted   |
|            |            |            |           |           |           |           | sister,   |
|            |            |            |           |           |           |           | attempts  |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | convince  |
|            |            |            |           |           |           |           | Jones to  |
|            |            |            |           |           |           |           | investiga |
|            |            |            |           |           |           |           | te her    |
|            |            |            |           |           |           |           | past and  |
|            |            |            |           |           |           |           | IGH, the  |
|            |            |            |           |           |           |           | company   |
|            |            |            |           |           |           |           | that gave |
|            |            |            |           |           |           |           | her abili |
|            |            |            |           |           |           |           | ties, but |
|            |            |            |           |           |           |           | Jones is  |
|            |            |            |           |           |           |           | not inter |
|            |            |            |           |           |           |           | ested.    |
|            |            |            |           |           |           |           | Walker is |
|            |            |            |           |           |           |           | dealing   |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | declining |
|            |            |            |           |           |           |           | ratings   |
|            |            |            |           |           |           |           | for her   |
|            |            |            |           |           |           |           | radio     |
|            |            |            |           |           |           |           | show      |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | Talk, and |
|            |            |            |           |           |           |           | sees her  |
|            |            |            |           |           |           |           | ex-       |
|            |            |            |           |           |           |           | boyfriend |
|            |            |            |           |           |           |           | Will Simp |
|            |            |            |           |           |           |           | son—who   |
|            |            |            |           |           |           |           | was also  |
|            |            |            |           |           |           |           | experimen |
|            |            |            |           |           |           |           | ted on by |
|            |            |            |           |           |           |           | IGH—follo |
|            |            |            |           |           |           |           | wing her. |
|            |            |            |           |           |           |           | Pryce     |
|            |            |            |           |           |           |           | Cheng,    |
|            |            |            |           |           |           |           | another i |
|            |            |            |           |           |           |           | nvestigat |
|            |            |            |           |           |           |           | or, seeks |
|            |            |            |           |           |           |           | to absorb |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | into his  |
|            |            |            |           |           |           |           | company   |
|            |            |            |           |           |           |           | at the    |
|            |            |            |           |           |           |           | request   |
|            |            |            |           |           |           |           | of lawyer |
|            |            |            |           |           |           |           | Jeri      |
|            |            |            |           |           |           |           | Hogarth.  |
|            |            |            |           |           |           |           | When      |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | attacks   |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | injures   |
|            |            |            |           |           |           |           | Cheng, he |
|            |            |            |           |           |           |           | plans to  |
|            |            |            |           |           |           |           | sue her   |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Hogarth,  |
|            |            |            |           |           |           |           | who is    |
|            |            |            |           |           |           |           | already   |
|            |            |            |           |           |           |           | facing a  |
|            |            |            |           |           |           |           | lawsuit   |
|            |            |            |           |           |           |           | from her  |
|            |            |            |           |           |           |           | former    |
|            |            |            |           |           |           |           | assistant |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | lover.    |
|            |            |            |           |           |           |           | Jones is  |
|            |            |            |           |           |           |           | approache |
|            |            |            |           |           |           |           | d by      |
|            |            |            |           |           |           |           | Robert    |
|            |            |            |           |           |           |           | Coleman,  |
|            |            |            |           |           |           |           | who also  |
|            |            |            |           |           |           |           | calls     |
|            |            |            |           |           |           |           | himself   |
|            |            |            |           |           |           |           | "Whizzer" |
|            |            |            |           |           |           |           | and was   |
|            |            |            |           |           |           |           | given sup |
|            |            |            |           |           |           |           | erspeed   |
|            |            |            |           |           |           |           | by IGH.   |
|            |            |            |           |           |           |           | When he   |
|            |            |            |           |           |           |           | is killed |
|            |            |            |           |           |           |           | in an     |
|            |            |            |           |           |           |           | apparent  |
|            |            |            |           |           |           |           | construct |
|            |            |            |           |           |           |           | ion       |
|            |            |            |           |           |           |           | accident, |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | traces    |
|            |            |            |           |           |           |           | his medic |
|            |            |            |           |           |           |           | ation to  |
|            |            |            |           |           |           |           | an        |
|            |            |            |           |           |           |           | abandoned |
|            |            |            |           |           |           |           | building  |
|            |            |            |           |           |           |           | which she |
|            |            |            |           |           |           |           | remembers |
|            |            |            |           |           |           |           | being     |
|            |            |            |           |           |           |           | taken to  |
|            |            |            |           |           |           |           | and exper |
|            |            |            |           |           |           |           | imented   |
|            |            |            |           |           |           |           | on.       |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 15         | 2          | "AKA      | Minkie    | Aïda      | March 8,  | Jones     |
| .wikipedia |            |            | Freak     | Spiro     | Mashaka   | 2018      | goes to   |
| .org/wiki/ |            |            | Accident" |           | Croal     |           | the home  |
| Jessica_Jo |            |            |           |           |           |           | of Miklos |
| nes_(seaso |            |            |           |           |           |           | Kozlov,   |
| n_2)       |            |            |           |           |           |           | the IGH   |
|            |            |            |           |           |           |           | doctor    |
|            |            |            |           |           |           |           | who had e |
|            |            |            |           |           |           |           | xperiment |
|            |            |            |           |           |           |           | ed on     |
|            |            |            |           |           |           |           | Simpson.  |
|            |            |            |           |           |           |           | She finds |
|            |            |            |           |           |           |           | a shiva   |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | Kozlov,   |
|            |            |            |           |           |           |           | who has   |
|            |            |            |           |           |           |           | died in a |
|            |            |            |           |           |           |           | "freak ac |
|            |            |            |           |           |           |           | cident".  |
|            |            |            |           |           |           |           | One of    |
|            |            |            |           |           |           |           | Kozlov's  |
|            |            |            |           |           |           |           | army      |
|            |            |            |           |           |           |           | patients  |
|            |            |            |           |           |           |           | believes  |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | Simpson   |
|            |            |            |           |           |           |           | is behind |
|            |            |            |           |           |           |           | this, and |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | suspects  |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | also      |
|            |            |            |           |           |           |           | killed    |
|            |            |            |           |           |           |           | Coleman.  |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | asks      |
|            |            |            |           |           |           |           | Malcolm   |
|            |            |            |           |           |           |           | Ducasse,  |
|            |            |            |           |           |           |           | Jones's   |
|            |            |            |           |           |           |           | neighbor  |
|            |            |            |           |           |           |           | and work  |
|            |            |            |           |           |           |           | partner,  |
|            |            |            |           |           |           |           | to help   |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | rather    |
|            |            |            |           |           |           |           | than      |
|            |            |            |           |           |           |           | further   |
|            |            |            |           |           |           |           | involve   |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | reluctant |
|            |            |            |           |           |           |           | Jones.    |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | confronts |
|            |            |            |           |           |           |           | Maximilia |
|            |            |            |           |           |           |           | n Tatum,  |
|            |            |            |           |           |           |           | a         |
|            |            |            |           |           |           |           | director, |
|            |            |            |           |           |           |           | about the |
|            |            |            |           |           |           |           | sexual re |
|            |            |            |           |           |           |           | lationshi |
|            |            |            |           |           |           |           | p they    |
|            |            |            |           |           |           |           | had when  |
|            |            |            |           |           |           |           | she was a |
|            |            |            |           |           |           |           | child     |
|            |            |            |           |           |           |           | actress   |
|            |            |            |           |           |           |           | working   |
|            |            |            |           |           |           |           | for him,  |
|            |            |            |           |           |           |           | threateni |
|            |            |            |           |           |           |           | ng to     |
|            |            |            |           |           |           |           | publicly  |
|            |            |            |           |           |           |           | reveal    |
|            |            |            |           |           |           |           | this      |
|            |            |            |           |           |           |           | unless he |
|            |            |            |           |           |           |           | helps her |
|            |            |            |           |           |           |           | get       |
|            |            |            |           |           |           |           | access to |
|            |            |            |           |           |           |           | records   |
|            |            |            |           |           |           |           | at a      |
|            |            |            |           |           |           |           | hospital  |
|            |            |            |           |           |           |           | he has    |
|            |            |            |           |           |           |           | influence |
|            |            |            |           |           |           |           | over.     |
|            |            |            |           |           |           |           | After     |
|            |            |            |           |           |           |           | Tatum     |
|            |            |            |           |           |           |           | refuses,  |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | runs into |
|            |            |            |           |           |           |           | Simpson.  |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | also      |
|            |            |            |           |           |           |           | arrives,  |
|            |            |            |           |           |           |           | having    |
|            |            |            |           |           |           |           | tracked   |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | down when |
|            |            |            |           |           |           |           | she did   |
|            |            |            |           |           |           |           | not       |
|            |            |            |           |           |           |           | answer    |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | phone.    |
|            |            |            |           |           |           |           | Simpson   |
|            |            |            |           |           |           |           | claims    |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | someone   |
|            |            |            |           |           |           |           | else who  |
|            |            |            |           |           |           |           | was exper |
|            |            |            |           |           |           |           | imented   |
|            |            |            |           |           |           |           | on by IGH |
|            |            |            |           |           |           |           | has       |
|            |            |            |           |           |           |           | killed    |
|            |            |            |           |           |           |           | Kozlov    |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | Coleman,  |
|            |            |            |           |           |           |           | and that  |
|            |            |            |           |           |           |           | he is     |
|            |            |            |           |           |           |           | just      |
|            |            |            |           |           |           |           | there to  |
|            |            |            |           |           |           |           | protect   |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | since she |
|            |            |            |           |           |           |           | was       |
|            |            |            |           |           |           |           | noticed i |
|            |            |            |           |           |           |           | nvestigat |
|            |            |            |           |           |           |           | ing IGH.  |
|            |            |            |           |           |           |           | This      |
|            |            |            |           |           |           |           | other     |
|            |            |            |           |           |           |           | person    |
|            |            |            |           |           |           |           | soon      |
|            |            |            |           |           |           |           | appears   |
|            |            |            |           |           |           |           | and kills |
