+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| url      | keys     | mouses   | mouses_l | short_ex | short_ex | descript | price    | price_li |
|          |          |          | ink      | planatio | planatio | ion      |          | nk       |
|          |          |          |          | n        | n_link   |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Our pick | Logitech | https:// | The best | https:// | The inex | $20      | https:// |
| thewirec |          | Marathon | wclink.c | wireless | wclink.c | pensive  |          | wclink.c |
| utter.co |          | Mouse    | o/link/2 | mouse    | o/link/2 | Marathon |          | o/link/2 |
| m/review |          | M705     | 31/94600 | for most | 31/94600 | is comfo |          | 31/94600 |
| s/best-w |          |          | /4/37024 | hands    | /4/37024 | rtable   |          | /4/37024 |
| ireless- |          |          |          |          |          | for a    |          |          |
| mouse/   |          |          |          |          |          | variety  |          |          |
|          |          |          |          |          |          | of hand  |          |          |
|          |          |          |          |          |          | sizes    |          |          |
|          |          |          |          |          |          | and      |          |          |
|          |          |          |          |          |          | grips,   |          |          |
|          |          |          |          |          |          | and it   |          |          |
|          |          |          |          |          |          | tracks a |          |          |
|          |          |          |          |          |          | ccuratel |          |          |
|          |          |          |          |          |          | y on     |          |          |
|          |          |          |          |          |          | most sur |          |          |
|          |          |          |          |          |          | faces.   |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Runner-  | Logitech | https:// | A great  | https:// | The Tria | $38      | https:// |
| thewirec | up       | M720 Tri | wclink.c | Bluetoot | wclink.c | thlon    |          | wclink.c |
| utter.co |          | athlon   | o/link/1 | h mouse  | o/link/1 | supports |          | o/link/1 |
| m/review |          | Multi-   | 5967/940 |          | 5967/940 | Bluetoot |          | 5967/940 |
| s/best-w |          | Device   | 79/4/636 |          | 79/4/636 | h and    |          | 79/4/636 |
| ireless- |          | Wireless | 08       |          | 08       | has      |          | 08       |
| mouse/   |          | Mouse    |          |          |          | more-    |          |          |
|          |          |          |          |          |          | useful s |          |          |
|          |          |          |          |          |          | oftware, |          |          |
|          |          |          |          |          |          | but it   |          |          |
|          |          |          |          |          |          | isn’t as |          |          |
|          |          |          |          |          |          | comforta |          |          |
|          |          |          |          |          |          | ble or a |          |          |
|          |          |          |          |          |          | ffordabl |          |          |
|          |          |          |          |          |          | e as the |          |          |
|          |          |          |          |          |          | Marathon |          |          |
|          |          |          |          |          |          | .        |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Upgrade  | Logitech | https:// | A luxury | https:// | The MX   | $95      | https:// |
| thewirec | pick     | MX       | wclink.c | mouse    | wclink.c | Master   |          | wclink.c |
| utter.co |          | Master   | o/link/1 | for prof | o/link/1 | 2S is ex |          | o/link/1 |
| m/review |          | 2S       | 9174/102 | essional | 9174/102 | pensive, |          | 9174/102 |
| s/best-w |          | Wireless | 932/4/63 | s        | 932/4/63 | but its  |          | 932/4/63 |
| ireless- |          | Mouse    | 609      |          | 609      | comforta |          | 609      |
| mouse/   |          |          |          |          |          | ble      |          |          |
|          |          |          |          |          |          | contour, |          |          |
|          |          |          |          |          |          | customiz |          |          |
|          |          |          |          |          |          | able     |          |          |
|          |          |          |          |          |          | buttons, |          |          |
|          |          |          |          |          |          | and      |          |          |
|          |          |          |          |          |          | sturdy c |          |          |
|          |          |          |          |          |          | onstruct |          |          |
|          |          |          |          |          |          | ion make |          |          |
|          |          |          |          |          |          | it the   |          |          |
|          |          |          |          |          |          | best     |          |          |
|          |          |          |          |          |          | option   |          |          |
|          |          |          |          |          |          | for      |          |          |
|          |          |          |          |          |          | people   |          |          |
|          |          |          |          |          |          | who use  |          |          |
|          |          |          |          |          |          | a mouse  |          |          |
