+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| l  | mb | mb | ar | d_ | ag | ag | ag | me | me | fe | e  | ev | rt | rt | rm | rm | rm | ce | i |
|    | er | er | t_ | of | e  | e_ | e_ |    | _l | sp |    | io | y  | y_ | _E |    | _E | _P | c |
|    |    | _l | of | _P |    | al | li |    | in | an |    | us |    | li | nd |    | nd | re | e |
|    |    | in | _P | re |    | t  | nk |    | k  |    |    | _O |    | nk | _( |    |    | si | _ |
|    |    | k  | re | si |    |    |    |    |    |    |    | ff |    |    | 1) |    |    | de | P |
|    |    |    | si | de |    |    |    |    |    |    |    | ic |    |    |    |    |    | nt | r |
|    |    |    | de | nc |    |    |    |    |    |    |    | e  |    |    |    |    |    |    | e |
|    |    |    | nc | y  |    |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    | y  |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | k |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 1  | ht | Ap | Ma | ht | Gi | ht | Ge | ht | 17 | (L | Co |    |    | (1 | 1  | (1 | Jo | h |
| tp |    | tp | ri | rc | tp | lb | tp | or | tp | 32 | iv | mm |    |    | 78 |    | 78 | hn | t |
| s: |    | s: | l  | h  | s: | er | s: | ge | s: | –1 | ed | an |    |    | 8– |    | 9) | Ad | t |
| // |    | // | 30 | 4, | // | t  | // | Wa | // | 79 | :  | de |    |    | 89 |    |    | am | p |
| en |    | en | ,  | 17 | up | St | en | sh | en | 9  | 67 | r- |    |    | )  |    |    | s; | s |
| .w |    | .w | 17 | 97 | lo | ua | .w | in | .w |    | ye | in |    |    |    |    |    | [f | : |
| ik |    | ik | 89 |    | ad | rt | ik | gt | ik |    | ar | -C |    |    |    |    |    | ]; | / |
| ip |    | ip |    |    | .w | Wi | ip | on | ip |    | s) | hi |    |    |    |    |    | [g | / |
| ed |    | ed |    |    | ik | ll | ed |    | ed |    |    | ef |    |    |    |    |    | ]  | e |
| ia |    | ia |    |    | im | ia | ia |    | ia |    |    | of |    |    |    |    |    |    | n |
| .o |    | .o |    |    | ed | ms | .o |    | .o |    |    | th |    |    |    |    |    |    | . |
| rg |    | rg |    |    | ia | to | rg |    | rg |    |    | e  |    |    |    |    |    |    | w |
| /w |    | /w |    |    | .o | wn | /w |    | /w |    |    |  C |    |    |    |    |    |    | i |
| ik |    | ik |    |    | rg | Po | ik |    | ik |    |    | on |    |    |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | rt | i/ |    | i/ |    |    | ti |    |    |    |    |    |    | i |
| Li |    | Pr |    |    | ik | ra | Fi |    | Ge |    |    | ne |    |    |    |    |    |    | p |
| st |    | es |    |    | ip | it | le |    | or |    |    | nt |    |    |    |    |    |    | e |
| _o |    | id |    |    | ed | of | :G |    | ge |    |    | al |    |    |    |    |    |    | d |
| f_ |    | en |    |    | ia | Ge | il |    | _W |    |    | Ar |    |    |    |    |    |    | i |
| Pr |    | cy |    |    | /c | or | be |    | as |    |    | my |    |    |    |    |    |    | a |
| es |    | _o |    |    | om | ge | rt |    | hi |    |    |  ( |    |    |    |    |    |    | . |
| id |    | f_ |    |    | mo | Wa | _S |    | ng |    |    | 17 |    |    |    |    |    |    | o |
