+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| url   | State | State | Abbre | State | Capit | Capit | Area_ | Popu | Popu | Popu | Popu | Note |
|       |       | _link | viati | hood_ | al    | al_Si | (sq._ | lati | lati | lati | lati | s    |
|       |       |       | on    | Year  |       | nce   | mi)   | on:_ | on:_ | on:_ | on:_ |      |
|       |       |       |       |       |       |       |       | Muni | Metr | Rank | Rank |      |
|       |       |       |       |       |       |       |       | cipa | opol | _in_ | _in_ |      |
|       |       |       |       |       |       |       |       | l    | itan | Stat | US   |      |
|       |       |       |       |       |       |       |       |      |      | e    |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Alaba | https | AL    | 1819  | Montg | 1846  | 155.4 | 205, | 374, | 2    | 115  | Birm |
| ://en | ma    | ://en |       |       | omery |       | 00    | 764  | 536  |      |      | ingh |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | am   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | Alaba |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | ma    |       |       |       |       |       |      |      |      |      | larg |
| pital |       |       |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | .    |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Alask | https | AK    | 1959  | Junea | 1906  | 2716. | 31,2 |      | 3    |      | Larg |
| ://en | a     | ://en |       |       | u     |       | 700   | 75   |      |      |      | est  |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | capi |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | tal  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | by m |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | unic |
| List_ |       | Alask |       |       |       |       |       |      |      |      |      | ipal |
| of_ca |       | a     |       |       |       |       |       |      |      |      |      | land |
| pital |       |       |       |       |       |       |       |      |      |      |      | area |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | . An |
| the_U |       |       |       |       |       |       |       |      |      |      |      | chor |
| nited |       |       |       |       |       |       |       |      |      |      |      | age  |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | is   |
| es    |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Arizo | https | AZ    | 1912  | Phoen | 1889  | 474.9 | 1,44 | 4,19 | 1    | 5    | Most |
| ://en | na    | ://en |       |       | ix    |       | 00    | 5,63 | 2,88 |      |      | popu |
| .wiki |       | .wiki |       |       |       |       |       | 2    | 7    |      |      | lous |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | U.S. |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | stat |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | e ca |
| List_ |       | Arizo |       |       |       |       |       |      |      |      |      | pita |
| of_ca |       | na    |       |       |       |       |       |      |      |      |      | l    |
| pital |       |       |       |       |       |       |       |      |      |      |      | and  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | the  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | only |
| nited |       |       |       |       |       |       |       |      |      |      |      | capi |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | tal  |
| es    |       |       |       |       |       |       |       |      |      |      |      | with |
