+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| url    | Produc | Produc | Produc | Regula | Produc | Produc | Coolin | Noise  | NVIDIA | AMD    |
|        | t_Imag | t_Imag | t_Imag | r_Pric | t_Name | t_Name | g_Capa |        |        |        |
|        | e      | e_alt  | e_link | e      |        | _link  | city   |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 300W   | 0.3    | Titan  | RX     |
| //www. | //stat | ro     | //www. | 119.99 | ro     | //www. |        | Sone   | Xp,    | 580,   |
| arctic | ic.arc | Hybrid | arctic |        | Hybrid | arctic |        |        | Titan  | 570,   |
| .ac/us | tic.ac | III-12 | .ac/us |        | III-12 | .ac/us |        |        | X(Pasc | 480,   |
| _en/pr | /media | 0      | _en/ac |        | 0      | _en/ac |        |        | al),   | 470,   |
| oducts | /catal |        | celero |        |        | celero |        |        | GTX 10 | R9 390 |
| /cooli | og/pro |        | -hybri |        |        | -hybri |        |        | 80(Ti) | (X), 3 |
| ng/vga | duct/c |        | d-iii- |        |        | d-iii- |        |        | , 1070 | 80(X), |
| .html  | ache/4 |        | 120.ht |        |        | 120.ht |        |        | (Ti),  | 370X,  |
|        | /small |        | ml     |        |        | ml     |        |        | 1060;  | 290(X) |
|        | _image |        |        |        |        |        |        |        | ,      | ,      |
|        | /300x1 |        |        |        |        |        |        |        | Titan  | 285,;  |
|        | 50/9df |        |        |        |        |        |        |        | X, 980 | 280(X) |
|        | 78eab3 |        |        |        |        |        |        |        | (Ti),  | *; , 2 |
|        | 3525d0 |        |        |        |        |        |        |        | 970,   | 70(X), |
|        | 8d6e5f |        |        |        |        |        |        |        | 960, T | R7     |
|        | b8d271 |        |        |        |        |        |        |        | itan(B | 370,   |
|        | 36e95/ |        |        |        |        |        |        |        | lack), | 265,   |
|        | a/c/ac |        |        |        |        |        |        |        | 780(Ti | HD 787 |
|        | celero |        |        |        |        |        |        |        | ),     | 0(XT,  |
|        | _hybri |        |        |        |        |        |        |        | 770,;  | GHz),; |
|        | d_iii_ |        |        |        |        |        |        |        | ...    | ...    |
|        | 120_b0 |        |        |        |        |        |        |        |        |        |
|        | 0.png  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 300W   | 0.4    | Titan  | RX     |
| //www. | //stat | ro     | //www. | 89.99  | ro     | //www. |        | Sone @ | Xp,    | 580,   |
| arctic | ic.arc | Xtreme | arctic |        | Xtreme | arctic |        | 2,000  | Titan  | 570,   |
| .ac/us | tic.ac | IV     | .ac/us |        | IV     | .ac/us |        | RPM    | X(Pasc | 480,   |
| _en/pr | /media |        | _en/ac |        |        | _en/ac |        |        | al),   | 470,   |
| oducts | /catal |        | celero |        |        | celero |        |        | GTX 10 | R9 390 |
| /cooli | og/pro |        | -xtrem |        |        | -xtrem |        |        | 80(Ti) | (X), 3 |
| ng/vga | duct/c |        | e-iv.h |        |        | e-iv.h |        |        | , 1070 | 80(X), |
| .html  | ache/4 |        | tml    |        |        | tml    |        |        | (Ti),  | 370X,  |
|        | /small |        |        |        |        |        |        |        | 1060;  | 290(X) |
|        | _image |        |        |        |        |        |        |        | ,      | ,      |
|        | /300x1 |        |        |        |        |        |        |        | Titan  | 285,;  |
|        | 50/9df |        |        |        |        |        |        |        | X, 980 | 280(X) |
|        | 78eab3 |        |        |        |        |        |        |        | (Ti),  | *; ,   |
|        | 3525d0 |        |        |        |        |        |        |        | 970,   | 270(X) |
|        | 8d6e5f |        |        |        |        |        |        |        | Titan  | ,R7    |
|        | b8d271 |        |        |        |        |        |        |        | (Black | 370,   |
|        | 36e95/ |        |        |        |        |        |        |        | ), 780 | 265,   |
|        | a/c/ac |        |        |        |        |        |        |        | (Ti),  | HD     |
|        | celero |        |        |        |        |        |        |        | 770,;  | 8870,; |
|        | _xtrem |        |        |        |        |        |        |        | …      | ...    |
|        | e_iv_b |        |        |        |        |        |        |        |        |        |
|        | 00_3.p |        |        |        |        |        |        |        |        |        |
|        | ng     |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 300W   | 0.4    | Titan  | Titan  |
| //www. | //stat | ro     | //www. | 89.99  | ro     | //www. |        | Sone @ | Xp,    | Xp,    |
| arctic | ic.arc | Xtreme | arctic |        | Xtreme | arctic |        | 2,000  | Titan  | Titan  |
| .ac/us | tic.ac | IV     | .ac/us |        | IV     | .ac/us |        | RPM    | X(Pasc | X(Pasc |
| _en/pr | /media | 280(X) | _en/ac |        | 280(X) | _en/ac |        |        | al),   | al),   |
| oducts | /catal |        | celero |        |        | celero |        |        | GTX 10 | GTX 10 |
| /cooli | og/pro |        | -xtrem |        |        | -xtrem |        |        | 80(Ti) | 80(Ti) |
| ng/vga | duct/c |        | e-iv-2 |        |        | e-iv-2 |        |        | , 1070 | , 1070 |
| .html  | ache/4 |        | 80-x.h |        |        | 80-x.h |        |        | (Ti),  | (Ti),  |
|        | /small |        | tml    |        |        | tml    |        |        | 1060;  | 1060;  |
|        | _image |        |        |        |        |        |        |        | ,      | ,      |
|        | /300x1 |        |        |        |        |        |        |        | Titan  | Titan  |
|        | 50/9df |        |        |        |        |        |        |        | X, 980 | X, 980 |
|        | 78eab3 |        |        |        |        |        |        |        | (Ti),  | (Ti),  |
|        | 3525d0 |        |        |        |        |        |        |        | 970,   | 970,   |
|        | 8d6e5f |        |        |        |        |        |        |        | Titan  | Titan  |
|        | b8d271 |        |        |        |        |        |        |        | (Black | (Black |
|        | 36e95/ |        |        |        |        |        |        |        | ), 780 | ), 780 |
|        | a/c/ac |        |        |        |        |        |        |        | (Ti),  | (Ti),  |
|        | celero |        |        |        |        |        |        |        | 770,   | 770,   |
|        | _xtrem |        |        |        |        |        |        |        | 760,;  | 760,;  |
|        | e_iv_2 |        |        |        |        |        |        |        | ...;   | ...;   |
|        | 80x_b0 |        |        |        |        |        |        |        | RX     | RX     |
|        | 0_1.pn |        |        |        |        |        |        |        | 580,   | 580,   |
|        | g      |        |        |        |        |        |        |        | 570,   | 570,   |
|        |        |        |        |        |        |        |        |        | 480,   | 480,   |
|        |        |        |        |        |        |        |        |        | 470,   | 470,   |
|        |        |        |        |        |        |        |        |        | R9 390 | R9 390 |
|        |        |        |        |        |        |        |        |        | (X), 3 | (X), 3 |
|        |        |        |        |        |        |        |        |        | 80(X), | 80(X), |
|        |        |        |        |        |        |        |        |        | 370X,  | 370X,  |
|        |        |        |        |        |        |        |        |        | 290(X) | 290(X) |
|        |        |        |        |        |        |        |        |        | , 285, | , 285, |
|        |        |        |        |        |        |        |        |        | 280(X) | 280(X) |
|        |        |        |        |        |        |        |        |        | ,270(X | ,270(X |
|        |        |        |        |        |        |        |        |        | ), R7  | ), R7  |
|        |        |        |        |        |        |        |        |        | 370,   | 370,   |
|        |        |        |        |        |        |        |        |        | 265,   | 265,   |
|        |        |        |        |        |        |        |        |        | HD     | HD     |
|        |        |        |        |        |        |        |        |        | 8970,  | 8970,  |
|        |        |        |        |        |        |        |        |        | 8950,; | 8950,; |
|        |        |        |        |        |        |        |        |        | ...    | ...    |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 300W   | 0.4    | Titan  | R9 390 |
| //www. | //stat | ro     | //www. | 89.99  | ro     | //www. |        | Sone @ | Xp,    | (X), 3 |
| arctic | ic.arc | Xtreme | arctic |        | Xtreme | arctic |        | 2,000  | Titan  | 80(X), |
| .ac/us | tic.ac | III    | .ac/us |        | III    | .ac/us |        | RPM    | X(Pasc | 370X,  |
| _en/pr | /media |        | _en/ac |        |        | _en/ac |        |        | al),   | 290(X) |
| oducts | /catal |        | celero |        |        | celero |        |        | GTX 10 | ,      |
| /cooli | og/pro |        | -xtrem |        |        | -xtrem |        |        | 80(Ti) | 285,;  |
| ng/vga | duct/c |        | e-iii. |        |        | e-iii. |        |        | , 1070 | 280(X) |
| .html  | ache/4 |        | html   |        |        | html   |        |        | (Ti),  | *; , 2 |
|        | /small |        |        |        |        |        |        |        | 1060;  | 70(X), |
|        | _image |        |        |        |        |        |        |        | ,      | R7     |
|        | /300x1 |        |        |        |        |        |        |        | Titan  | 370,   |
|        | 50/9df |        |        |        |        |        |        |        | X, 980 | 265,   |
|        | 78eab3 |        |        |        |        |        |        |        | (Ti),  | HD     |
|        | 3525d0 |        |        |        |        |        |        |        | 970, T | 8870,  |
|        | 8d6e5f |        |        |        |        |        |        |        | itan(B | 7970   |
|        | b8d271 |        |        |        |        |        |        |        | lack), | (GHz), |
|        | 36e95/ |        |        |        |        |        |        |        | 780(Ti | 7950 ( |
|        | a/c/ac |        |        |        |        |        |        |        | ),     | Boost) |
|        | celero |        |        |        |        |        |        |        | 770, 7 | ,; ... |
|        | _xtrem |        |        |        |        |        |        |        | 60(Ti) |        |
|        | e_iii_ |        |        |        |        |        |        |        | ,; …   |        |
|        | b00_2. |        |        |        |        |        |        |        |        |        |
|        | png    |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 250W   | 0.3    | Titan  | RX     |
| //www. | //stat | ro     | //www. | 89.99  | ro     | //www. |        | Sone @ | Xp,    | 580,   |
| arctic | ic.arc | Twin   | arctic |        | Twin   | arctic |        | 2,000  | Titan  | 570,   |
| .ac/us | tic.ac | Turbo  | .ac/us |        | Turbo  | .ac/us |        | RPM    | X(Pasc | 480,   |
| _en/pr | /media | III    | _en/ac |        | III    | _en/ac |        |        | al),   | 470,   |
| oducts | /catal |        | celero |        |        | celero |        |        | GTX 10 | 460; , |
| /cooli | og/pro |        | -twin- |        |        | -twin- |        |        | 80(Ti) | R9 380 |
| ng/vga | duct/c |        | turbo- |        |        | turbo- |        |        | , 1070 | (X),   |
| .html  | ache/4 |        | iii.ht |        |        | iii.ht |        |        | (Ti),  | 370X,  |
|        | /small |        | ml     |        |        | ml     |        |        | 1060;  | 285, 2 |
|        | _image |        |        |        |        |        |        |        | , 1050 | 70(X), |
|        | /300x1 |        |        |        |        |        |        |        | (Ti),  | R7     |
|        | 50/9df |        |        |        |        |        |        |        | Titan  | 370,   |
|        | 78eab3 |        |        |        |        |        |        |        | X, 980 | 360,   |
|        | 3525d0 |        |        |        |        |        |        |        | (Ti),  | 265, 2 |
|        | 8d6e5f |        |        |        |        |        |        |        | 970,   | 60(X), |
|        | b8d271 |        |        |        |        |        |        |        | 960, T | 250(X) |
|        | 36e95/ |        |        |        |        |        |        |        | itan*( | , 240, |
|        | a/c/ac |        |        |        |        |        |        |        | Black* | HD     |
|        | celero |        |        |        |        |        |        |        | ),;    | 8870,  |
|        | _twin_ |        |        |        |        |        |        |        | ,...   | 8760,. |
|        | turbo_ |        |        |        |        |        |        |        |        | ..     |
|        | iii_b0 |        |        |        |        |        |        |        |        |        |
