question_id,table_id,column_id,score
0,0,0,1.0
0,0,1,0.5
0,0,2,0.5
0,0,3,0.0
0,0,4,1.0
0,0,5,0.5
0,0,6,0.0
0,0,7,0.5
0,0,8,0.0
0,0,9,0.5
0,0,10,0.0
0,0,11,0.0
0,0,12,0.0
0,0,13,0.0
0,0,14,0.0
0,0,15,0.0
1,0,0,0.5
1,0,1,1.0
1,0,2,0.5
1,0,3,1.0
1,0,4,0.0
1,0,5,0.5
1,0,6,0.0
1,0,7,0.5
1,0,8,0.0
1,0,9,0.5
1,0,10,0.0
1,0,11,0.0
1,0,12,0.0
1,0,13,0.0
1,0,14,0.0
1,0,15,0.0
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
2,0,3,1.0
2,0,4,0.0
2,0,5,0.0
2,0,6,0.0
2,0,7,0.0
2,0,8,0.0
2,0,9,0.0
2,0,10,0.0
2,0,11,0.0
2,0,12,0.0
2,0,13,0.0
2,0,14,1.0
2,0,15,0.0
3,0,0,1.0
3,0,1,0.5
3,0,2,1.0
3,0,3,0.0
3,0,4,0.0
3,0,5,0.5
3,0,6,0.0
3,0,7,0.5
3,0,8,0.0
3,0,9,0.5
3,0,10,0.0
3,0,11,0.0
3,0,12,0.0
3,0,13,0.0
3,0,14,0.0
3,0,15,0.0
4,0,0,1.0
4,0,1,0.5
4,0,2,0.5
4,0,3,1.0
4,0,4,0.0
4,0,5,0.5
4,0,6,0.0
4,0,7,0.5
4,0,8,0.0
4,0,9,0.5
4,0,10,0.0
4,0,11,0.0
4,0,12,0.0
4,0,13,0.0
4,0,14,0.0
4,0,15,0.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.0
5,1,3,1.0
6,1,0,0.0
6,1,1,1.0
6,1,2,0.0
6,1,3,0.0
7,1,0,0.0
7,1,1,0.0
7,1,2,1.0
7,1,3,0.0
8,2,0,0.0
8,2,1,0.0
8,2,2,0.0
8,2,3,1.0
8,2,4,0.0
9,2,0,0.0
9,2,1,0.0
9,2,2,1.0
9,2,3,0.0
9,2,4,1.0
10,2,0,0.0
10,2,1,1.0
10,2,2,0.0
10,2,3,0.0
10,2,4,0.0
11,2,0,0.0
11,2,1,0.0
11,2,2,1.0
11,2,3,0.0
11,2,4,0.0
12,3,0,0.0
12,3,1,0.0
12,3,2,1.0
13,3,0,0.0
13,3,1,1.0
13,3,2,0.0
14,4,0,1.0
14,4,1,0.4
14,4,2,0.6
14,4,3,0.0
14,4,4,0.0
15,4,0,0.75
15,4,1,0.6
15,4,2,0.6
15,4,3,0.0
15,4,4,0.0
16,4,0,0.75
16,4,1,0.4
16,4,2,0.8
16,4,3,0.0
16,4,4,0.0
17,4,0,0.25
17,4,1,0.2
17,4,2,0.2
17,4,3,0.5
17,4,4,1.0
18,4,0,0.25
18,4,1,0.2
18,4,2,0.2
18,4,3,1.0
18,4,4,0.3333333333333333
19,5,0,0.0
19,5,1,0.0
19,5,2,0.0
19,5,3,0.0
19,5,4,1.0
19,5,5,1.0
19,5,6,0.0
20,5,0,0.0
20,5,1,0.0
20,5,2,0.0
20,5,3,0.0
20,5,4,0.0
20,5,5,1.0
20,5,6,0.0
21,5,0,0.0
21,5,1,0.0
21,5,2,0.0
21,5,3,0.0
21,5,4,0.0
21,5,5,1.0
21,5,6,0.0
22,5,0,0.0
22,5,1,1.0
22,5,2,0.6666666666666666
22,5,3,0.0
22,5,4,0.0
22,5,5,0.0
22,5,6,1.0
23,5,0,0.0
23,5,1,0.0
23,5,2,0.0
23,5,3,0.0
23,5,4,0.0
23,5,5,1.0
23,5,6,0.0
24,5,0,0.0
24,5,1,0.0
24,5,2,0.0
24,5,3,1.0
24,5,4,0.0
24,5,5,0.0
24,5,6,0.0
25,5,0,0.0
25,5,1,0.0
25,5,2,0.0
25,5,3,0.0
25,5,4,0.0
25,5,5,0.0
25,5,6,1.0
26,5,0,0.0
26,5,1,0.0
26,5,2,0.0
26,5,3,0.0
26,5,4,0.0
26,5,5,1.0
26,5,6,0.0
27,5,0,0.0
27,5,1,0.5
27,5,2,0.3333333333333333
27,5,3,0.0
27,5,4,1.0
27,5,5,0.0
27,5,6,0.0
28,6,0,0.0
28,6,1,0.0
28,6,2,1.0
28,6,3,0.5
28,6,4,0.0
28,6,5,0.0
28,6,6,0.0
28,6,7,0.0
28,6,8,0.0
29,6,0,0.0
29,6,1,0.0
29,6,2,1.0
29,6,3,0.5
29,6,4,0.0
29,6,5,0.0
29,6,6,0.0
29,6,7,0.0
29,6,8,0.0
30,6,0,0.0
30,6,1,0.0
30,6,2,1.0
