Amazon_Prime_Rates
url,Amazon_Store,Amazon_Store_link,Country,Monthly_Price,Annual_Price
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.com,https://www.amazon.com/prime?tag=eflyus-20,United States,USD 12.99,USD 99
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.co.uk,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.co.uk/prime,United Kingdom,GBP 7.99,GBP 79
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.ca,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.ca/prime,Canada,,CND 79
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.fr,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.fr/prime,France,EUR 5.99,EUR 49
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.de,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.de/prime,"Germany, Austria",EUR 7.99,EUR 69
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.de,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.de/prime,"The Netherlands, Belgium, Luxembourg",EUR 5.99,EUR 49
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.it,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.de/prime,Italy,,EUR 19.99
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.es,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.es/prime,Spain,,EUR 19.95
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.com.mx,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.com.mx/prime,Mexico,,"MXN 899
 449 for first year"
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.in,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.in/prime,India,,INR 999
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.co.jp,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.co.jp/prime,Japan,JPY 400,"JPY 3,900"
https://ebookfriendly.com/amazon-prime-membership-price-comparison/,Amazon.cn,http://links.ebookfriendly.com/?id=28128X862189&xs=1&url=https://www.amazon.cn/prime,China,,"RMB 388
 288 for first year"
