Native_Speaker_Ranking
url,Rank,Language,Native_Speakers_In_Millions,Fraction
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,1,Mandarin,935 (955),14.1%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,2,Spanish,390 (405),5.85%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,3,English,365 (360),5.52%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,4,Hindi,295 (310),4.46%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,5,Arabic,280 (295),4.23%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,6,Portuguese,205 (215),3.08%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,7,Bengali,200 (205),3.05%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,8,Russian,160 (155),2.42%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,9,Japanese,125 (125),1.92%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,10,Punjabi,95 (100),1.44%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,11,German,92 (95),1.39%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,12,Javanese,82,1.25%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,13,Wu,80,1.20%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,14,Malay,77,1.16%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,15,Telugu,76,1.15%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,16,Vietnamese,76,1.14%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,17,Korean,76,1.14%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,18,French,75,1.12%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,19,Marathi,73,1.10%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,20,Tamil,70,1.06%
