The_Best_Laptops_of_2018
product,lowest_price,editors_rating,processor_name,ram,weight,graphics_card,screen_size,storage_type,touch_screen,battery_rundown,resolution,storage_capacity_(as_tested)
acer swift 1,best price,,intel pentium n4200,4 gb,2.87 lb,intel hd graphics 505,13.3 inches,flash storage,no,12:48,1920 x 1080,64 gb
dell xps 13 (9360),$799.99,,intel core i7-8550u,8 gb,2.7 lb,amd mobility radeon 5850,13.3 inches,ssd,no,15:56,1920 x 1080,256 gb
hp spectre x360 13 (2017),"$1,199.99",,intel core i7-7500u,16 gb,2.83 lb,intel hd graphics 620,13.3 inches,ssd,no,8:18,3840 x 2160,512 gb
acer aspire e 15 (e5-575-33bm),$349.99,,intel core i3-7100u,4 gb,5.12 lb,intel hd graphics 620,15.6 inches,hdd,no,9:49,no,1 tb
apple macbook pro 13-inch (2017),"$1,099.99",,intel core i5,8 gb,3.02 lb,intel iris plus graphics 640,13.3 inches,ssd,no,16:26,2560 x 1600,128 gb
lenovo thinkpad x1 carbon (2018),"$1,519.00",,intel core i5-8250u,8 gb,2.49 lb,intel uhd graphics 620,14 inches,ssd,no,16:26,1920 x 1280,512 gb
lenovo ideapad miix 520,$999.99,,intel core i5-8250u,8 gb,2.65 (with keyboard) lbs,intel hd graphics 620,12.2 inches,ssd,yes,7:32 hrs:min,1920 x 1080,256 gb
origin pc evo15-s,"$1,615.00",,intel core i7-7700hq,16 mb,4.3 lb,nvidia geforce gtx 1070 (max-q),15.6 inches,"hdd, ssd",no,4:27 hrs:min,1920 x 1080,2.5 tb
microsoft surface book 2,"$1,499.00",,intel core i7-8650u,16 gb,4.2 lb,nvidia geforce gtx 1060,15 inches,ssd,yes,17:12,3240 x 2160,1 tb
"razer blade stealth (13.3"" qhd+, early 2018)","$1,499.99",,intel core i7-8550u,16 gb,2.98 lb,intel uhd graphics 620,13.3 inches,ssd,yes,8:36,3200 x 1800,256 gb
