Table_1
url,Rank,Title,Title_link,Type,Opening_Date_2,Closing_Date_2,Performances,Comment
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,1.,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),M,"January 26, 1988",,"12,590","Currently running at the Majestic Theatre
 7 Tony Awards in 1988, including Best Musical
 7 Drama Desk Awards in 1988
 Broadway's longest-running show and musical"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,2.,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),M,"November 14, 1996",,"8,915","Currently running at the Ambassador Theatre
 Revival
 6 Tony Awards in 1997, including Best Revival of a Musical
 6 Drama Desk Awards in 1997, including Outstanding Revival of a Musical
 Grammy Award for Best Musical Show Album in 1998
 Original production in 1975 (936 performances)
 Broadway's longest-running revival
 Longest running show to have premiered on Broadway
 Broadway's longest running American show"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,3.,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical),M,"November 13, 1997",,"8,518","Currently running at the Minskoff Theatre
 6 Tony Awards in 1998, including Best Musical
 8 Drama Desk Awards in 1998
 Grammy Award for Best Musical Show Album in 1999
 Longest-running Disney Theatrical Productions show
 Highest-grossing Broadway show in history"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,4.,Cats,https://en.wikipedia.org/wiki/Cats_(musical),M,"October 7, 1982","September 10, 2000","7,485","7 Tony Awards in 1983, including Best Musical
 3 Drama Desk Awards in 1983
 Grammy Award for Best Cast Show Album in 1984
 Revival in 2016 (593 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,5.,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),M,"March 12, 1987","May 18, 2003","6,680","8 Tony Awards in 1987, including Best Musical
 5 Drama Desk Awards in 1987, including Outstanding Musical
 Grammy Award for Best Musical Cast Show Album in 1988
 Revivals in 2006 (463 performances) and 2014 (1,024 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,6.,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,M,"July 25, 1975","April 28, 1990","6,137","9 Tony Awards in 1976, including Best Musical
 5 Drama Desk Awards in 1976, including Outstanding Musical
 A Special Tony Award in 1984 for becoming Broadway's longest-running musical
 Pulitzer Prize for Drama in 1976
 Revival in 2006 (759 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,7.,Wicked,https://en.wikipedia.org/wiki/Wicked_(musical),M,"October 30, 2003",,"6,053","Currently running at the Gershwin Theatre
 3 Tony Awards in 2004
 7 Drama Desk Awards in 2004, including Outstanding Musical
 Grammy Award for Best Musical Show Album in 2005"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,8.,Oh! Calcutta!,https://en.wikipedia.org/wiki/Oh!_Calcutta!,R,"September 24, 1976","August 6, 1989","5,959","Revival
 Original production in 1969 (1314 performances)
 First revival to match its original for 1000+ performances
 Broadway's longest-running revue"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,9.,Mamma Mia!,https://en.wikipedia.org/wiki/Mamma_Mia!,M,"October 18, 2001","September 12, 2015","5,758","Longest-running ""jukebox musical"" on Broadway"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,10.,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),M,"April 18, 1994","July 29, 2007","5,461",A Tony Award in 1994
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,11.,Rent,https://en.wikipedia.org/wiki/Rent_(musical),M,"April 29, 1996","September 7, 2008","5,123","4 Tony Awards in 1996, including Best Musical
 6 Drama Desk Awards in 1996, including Outstanding Musical
 Pulitzer Prize for Drama in 1996"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,12.,Jersey Boys,https://en.wikipedia.org/wiki/Jersey_Boys,M,"November 6, 2005","January 15, 2017","4,642","4 Tony Awards in 2006, including Best Musical
 2 Drama Desk Awards in 2006
 Grammy Award for Best Musical Show Album in 2007"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,13.,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon,M,"April 11, 1991","January 28, 2001","4,092","3 Tony Awards in 1991
 4 Drama Desk Awards in 1991
 Revival in 2017 (340 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,14.,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),M,"August 25, 1980","January 8, 1989","3,486","2 Tony Awards in 1981, including Best Musical
 2 Drama Desk Awards in 1981
 Revival in 2001 (1,524 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,15.,Grease,https://en.wikipedia.org/wiki/Grease_(musical),M,"February 14, 1972","April 13, 1980","3,388","2 Drama Desk Awards in 1972
 Revivals in 1994 (1,505 performances) and 2007 (554 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,16.,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,M,"September 22, 1964","July 2, 1972","3,242","9 Tony Awards in 1965, including Best Musical
 A Special Tony Award in 1972 for becoming Broadway's longest-running musical
 Revivals in 1976 (167 performances), 1981 (53 performances), 1990, (241 performances), 2004 (781 performances), and 2015 (431 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,17.,Life With Father,https://en.wikipedia.org/wiki/Life_With_Father,P,"November 8, 1939","July 12, 1947","3,224",Broadway's longest-running straight play
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,18.,Tobacco Road,https://en.wikipedia.org/wiki/Tobacco_Road_(play),P,"December 4, 1933","May 31, 1941","3,182","Revivals in 1942 (34 performances), 1943 (66 performances), and 1950 (7 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,19.,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical),M,"March 24, 2011",,"2,970","Currently running at the Eugene O'Neill Theatre
 9 Tony Awards in 2011, including Best Musical
 5 Drama Desk Awards in 2011, including Outstanding Musical
 Grammy Award for Best Musical Theater Album in 2012"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,20.,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",M,"January 16, 1964","December 27, 1970","2,844","10 Tony Awards in 1964, including Best Musical
 A Drama Desk Award in 1970
 Revivals in 1975 (42 performances), 1978 (147 performances), 1995 (116 performances), and 2017 (414 performances, currently running at the Shubert Theatre)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,21.,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,M,"March 15, 1956","September 29, 1962","2,717","6 Tony Awards in 1957, including Best Musical
 Revivals in 1976 (377 performances), 1981 (120 performances), 1993 (165 performances), and 2018 (13 performances, currently running at the Vivian Beaumont Theater)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,22.,Hairspray,https://en.wikipedia.org/wiki/Hairspray_(musical),M,"August 15, 2002","January 4, 2009","2,642","8 Tony Awards in 2003, including Best Musical
 10 Drama Desk Awards in 2003, including Outstanding Musical
 Grammy Award for Best Musical Show Album in 2003"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,23.,Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(musical),M,"November 16, 2006","March 3, 2013","2,619","A Tony Award in 2007
 2 Drama Desk Awards in 2007"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,24.,Avenue Q,https://en.wikipedia.org/wiki/Avenue_Q,M,"July 31, 2003","September 13, 2009","2,534","3 Tony Awards in 2004, including Best Musical"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,25.,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical),M,"April 19, 2001","April 22, 2007","2,502","12 Tony Awards in 2001, including Best Musical
 11 Drama Desk Awards in 2001, including Outstanding Musical
 Grammy Award for Best Musical Show Album in 2002
 Most Tony Awards won by a production"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,26.,Annie,https://en.wikipedia.org/wiki/Annie_(musical),M,"April 21, 1977","January 2, 1983","2,377","7 Tony Awards in 1977, including Best Musical
 7 Drama Desk Awards in 1977, including Outstanding Musical
 Grammy Award for Best Cast Show Album in 1978
 Revivals in 1997 (239 performances) and 2012 (487 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,26.,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),M,"March 19, 1998","January 4, 2004","2,377","Revival
 4 Tony Awards in 1998, including Best Revival of a Musical
 3 Drama Desk Awards in 1998, including Outstanding Revival of a Musical
 Original production in 1966 (1165 performances) and revivals in 1987 (261 performances) and 2014 (388 performances)"
https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows,28.,Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha,M,"November 22, 1965","June 26, 1971","2,328","5 Tony Awards in 1966, including Best Musical
 Revivals in 1972 (140 performances), 1977 (124 performances), 1992 (108 performances), and 2002 (304 performances)"
