Table_1
url,Rank,Cause_of_Death,Cause_of_Death_link
http://www.worldlifeexpectancy.com/united-states-life-expectancy,1.,Coronary Heart Disease,http://www.worldlifeexpectancy.com/united-states-coronary-heart-disease
http://www.worldlifeexpectancy.com/united-states-life-expectancy,2.,Alzheimers/Dementia,http://www.worldlifeexpectancy.com/united-states-alzheimers-dementia
http://www.worldlifeexpectancy.com/united-states-life-expectancy,3.,Lung Cancers,http://www.worldlifeexpectancy.com/united-states-lung-cancers
http://www.worldlifeexpectancy.com/united-states-life-expectancy,4.,Lung Disease,http://www.worldlifeexpectancy.com/united-states-lung-disease
http://www.worldlifeexpectancy.com/united-states-life-expectancy,5.,Stroke,http://www.worldlifeexpectancy.com/united-states-stroke
http://www.worldlifeexpectancy.com/united-states-life-expectancy,6.,Breast Cancer,http://www.worldlifeexpectancy.com/united-states-breast-cancer
http://www.worldlifeexpectancy.com/united-states-life-expectancy,7.,Prostate Cancer,http://www.worldlifeexpectancy.com/united-states-prostate-cancer
http://www.worldlifeexpectancy.com/united-states-life-expectancy,8.,Diabetes Mellitus,http://www.worldlifeexpectancy.com/united-states-diabetes-mellitus
http://www.worldlifeexpectancy.com/united-states-life-expectancy,9.,Hypertension,http://www.worldlifeexpectancy.com/united-states-hypertension
http://www.worldlifeexpectancy.com/united-states-life-expectancy,10.,Colon-Rectum Cancers,http://www.worldlifeexpectancy.com/united-states-colon-rectum-cancers
http://www.worldlifeexpectancy.com/united-states-life-expectancy,11.,Suicide,http://www.worldlifeexpectancy.com/united-states-suicide
http://www.worldlifeexpectancy.com/united-states-life-expectancy,12.,Kidney Disease,http://www.worldlifeexpectancy.com/united-states-kidney-disease
http://www.worldlifeexpectancy.com/united-states-life-expectancy,13.,Influenza and Pneumonia,http://www.worldlifeexpectancy.com/united-states-influenza-pneumonia
http://www.worldlifeexpectancy.com/united-states-life-expectancy,14.,Road Traffic Accidents,http://www.worldlifeexpectancy.com/united-states-road-traffic-accidents
http://www.worldlifeexpectancy.com/united-states-life-expectancy,15.,Liver Disease,http://www.worldlifeexpectancy.com/united-states-liver-disease
http://www.worldlifeexpectancy.com/united-states-life-expectancy,16.,Pancreas Cancer,http://www.worldlifeexpectancy.com/united-states-pancreas-cancer
http://www.worldlifeexpectancy.com/united-states-life-expectancy,17.,Endocrine Disorders,http://www.worldlifeexpectancy.com/united-states-endocrine-disorders
http://www.worldlifeexpectancy.com/united-states-life-expectancy,18.,Lymphomas,http://www.worldlifeexpectancy.com/united-states-lymphomas
http://www.worldlifeexpectancy.com/united-states-life-expectancy,19.,Drug Use,http://www.worldlifeexpectancy.com/united-states-drug-use
http://www.worldlifeexpectancy.com/united-states-life-expectancy,20.,Inflammatory/Heart,http://www.worldlifeexpectancy.com/united-states-inflammatory-heart
