List_of_Presidents_of_the_United_States
url,Number,Presidency_-_begin,Presidency_-_end,President,President_link,Dates_birth_and_death,Lived,Prior_office,Party,Party_link,Begin_term,Term_number,End_term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,1,"April 30, 1789","March 4, 1797",George Washington,https://en.wikipedia.org/wiki/George_Washington,1732–1799,(Lived: 67 years),"Commander-in-Chief
 of the
 Continental Army
 (1775–1783)",,,(1788–89),1,(1789),"John Adams
 [f][g]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,1,"April 30, 1789","March 4, 1797",George Washington,https://en.wikipedia.org/wiki/George_Washington,1732–1799,(Lived: 67 years),"Commander-in-Chief
 of the
 Continental Army
 (1775–1783)",,,(1792),2,(1793),"John Adams
 [f][g]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,2,"March 4, 1797","March 4, 1801",John Adams,https://en.wikipedia.org/wiki/John_Adams,1735–1826,(Lived: 90 years),"1st
 Vice President of the United States",Federalist,https://en.wikipedia.org/wiki/Federalist_Party,(1796),3,(1797),"Thomas Jefferson
 [h]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,3,"March 4, 1801","March 4, 1809",Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,1743–1826,(Lived: 83 years),"2nd
 Vice President of the United States","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1800),4,(1801),"Aaron Burr
 March 4, 1801 – March 4, 1805"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,3,"March 4, 1801","March 4, 1809",Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,1743–1826,(Lived: 83 years),"2nd
 Vice President of the United States","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1804),5,(1805),"George Clinton
 March 4, 1805 – March 4, 1809"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,4,"March 4, 1809","March 4, 1817",James Madison,https://en.wikipedia.org/wiki/James_Madison,1751–1836,(Lived: 85 years),"5th
 United States Secretary of State
 (1801–1809)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1808),6,(1809),"George Clinton
 March 4, 1809 – April 20, 1812
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,4,"March 4, 1809","March 4, 1817",James Madison,https://en.wikipedia.org/wiki/James_Madison,1751–1836,(Lived: 85 years),"5th
 United States Secretary of State
 (1801–1809)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1808),6,(1809),"Office vacant
 (Balance of Clinton's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,4,"March 4, 1809","March 4, 1817",James Madison,https://en.wikipedia.org/wiki/James_Madison,1751–1836,(Lived: 85 years),"5th
 United States Secretary of State
 (1801–1809)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1812),7,(1813),"Elbridge Gerry
 March 4, 1813 – November 23, 1814
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,4,"March 4, 1809","March 4, 1817",James Madison,https://en.wikipedia.org/wiki/James_Madison,1751–1836,(Lived: 85 years),"5th
 United States Secretary of State
 (1801–1809)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1812),7,(1813),"Office vacant
 (Balance of Gerry's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,5,"March 4, 1817","March 4, 1825",James Monroe,https://en.wikipedia.org/wiki/James_Monroe,1758–1831,(Lived: 73 years),"7th
 United States Secretary of State
 (1811–1817)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1816),8,(1817),Daniel D. Tompkins
