Table_1
url,Fruit,Fruit_link,Amount,Calories
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Apples,http://www.calorieking.com/foods/calories-in-fresh-fruits-apples-with-skin-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzg3OCZlaWQ9NTU5MjU4ODQ4JnBvcz0xJnBhcj0ma2V5PWFwcGxlcw.html,2 extra small,105
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Apricots,http://www.calorieking.com/foods/calories-in-fresh-fruits-apricots-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzg3NCZlaWQ9NTU5MjU5ODQzJnBvcz0zJnBhcj0ma2V5PUFwcmljb3Rz.html,6 whole,101
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Bananas,http://www.calorieking.com/foods/calories-in-fresh-fruits-banana-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD03MzMyOSZlaWQ9NTU5MjYwMTIzJnBvcz0xJnBhcj0ma2V5PUJhbmFuYXM.html,1 medium,105
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Blackberries,http://www.livestrong.com/thedailyplate/nutrition-calories/food/generic/blackberries-2/,100 berries (or 1 1/2 cups),100 (93)
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Blueberries,http://www.calorieking.com/foods/calories-in-fresh-fruits-blueberries-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzgyNSZlaWQ9NTU5MjYyNDE1JnBvcz0xJnBhcj0ma2V5PUJsdWViZXJyaWVz.html,125 berries (or 1 1/4 cup),97 (103)
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Cantaloupe,http://www.calorieking.com/foods/calories-in-fresh-fruits-cantaloupe-melon-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzc0NCZlaWQ9NTU5MjYzMjAxJnBvcz0xJnBhcj0ma2V5PUNhbnRhbG91cGU.html,"2 cups, diced",106
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Cherries,http://www.calorieking.com/foods/calories-in-fresh-fruits-cherries-sweet-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzgwMyZlaWQ9NTU5MjY5ODk3JnBvcz0xJnBhcj0ma2V5PUNoZXJyaWVz.html,20,103
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Clementines,http://www.calorieking.com/foods/calories-in-fresh-fruits-clementines-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD03OTE3MSZlaWQ9NTU5MjcwNDM4JnBvcz0xJnBhcj0ma2V5PUNsZW1lbnRpbmVz.html,3 whole,104
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,"Cranberries, raw",http://www.calorieking.com/foods/calories-in-fresh-fruits-cranberries-raw-edible-portion_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzgxMSZlaWQ9NTU5MjcwNzE3JnBvcz0yJnBhcj0ma2V5PUNyYW5iZXJyaWVz.html,2 1/4 cups,98
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,"Dates, medjool",http://www.calorieking.com/foods/calories-in-fresh-fruits-dates-medjool-edible-portion_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD0xNTgxODgmZWlkPTU1OTI3MDk4NiZwb3M9MSZwYXI9JmtleT1EYXRlcw.html,1 1/2 whole,100
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,"Grapes, red or green",http://www.calorieking.com/foods/calories-in-fresh-fruits-grapes-red-or-green-european-type-such-as-thompson-seedless-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzc0OCZlaWQ9NTU5MjcxMjQ5JnBvcz0xJnBhcj0ma2V5PUdyYXBlcw.html,30,101
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,"Grapefruit, pink or white",http://www.calorieking.com/foods/calories-in-fruit-vegetable-juices-grapefruit-pink-or-white-fresh_f-Y2lkPTI2Nzg2JmJpZD0xJmZpZD02OTQ2OCZlaWQ9NTU5Mjc0NDg5JnBvcz0yJnBhcj0ma2V5PWdyYXBlZnJ1aXQ.html,1 1/4 whole,95
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Honeydew,http://www.calorieking.com/foods/calories-in-fresh-fruits-honeydew-melon-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzc0NiZlaWQ9NTU5Mjc0OTg1JnBvcz0xJnBhcj0ma2V5PUhvbmV5ZGV3.html,"1 3/4 cups, diced; about 35 pieces",98
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Kiwi,http://www.calorieking.com/foods/calories-in-fresh-fruits-kiwi-fruit-chinese-gooseberries-raw-edible-portion_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzc2MiZlaWQ9NTU5Mjc1NjgwJnBvcz0xJnBhcj0ma2V5PUtpd2k.html,2 whole,93
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Mango,http://www.calorieking.com/foods/calories-in-fresh-fruits-mangos-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02Mzc0MiZlaWQ9NTU5Mjc2NDYwJnBvcz0xJnBhcj0ma2V5PU1hbmdv.html,"1 cup, sliced (or 3/4 whole fruit)",107 (101)
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Nectarine,http://www.calorieking.com/foods/calories-in-fresh-fruits-nectarines-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzcxNSZlaWQ9NTU5Mjc3MDQ0JnBvcz0xJnBhcj0ma2V5PU5lY3RhcmluZQ.html,1 1/2 medium,94
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Orange,http://www.calorieking.com/foods/calories-in-fresh-fruits-oranges-average-all-varieties-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzcxOSZlaWQ9NTU5Mjc3Mzg3JnBvcz0xJnBhcj0ma2V5PU9yYW5nZQ.html,2 small,90
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Papaya,http://www.calorieking.com/foods/calories-in-fresh-fruits-papayas-edible-portion_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzcwMiZlaWQ9NTU5Mjc4MDM0JnBvcz0xJnBhcj0ma2V5PVBhcGF5YQ.html,"2 cups, cubed",109
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Peach,http://www.calorieking.com/foods/calories-in-fresh-fruits-peaches-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzcwNyZlaWQ9NTU5Mjc4NDYxJnBvcz0xJnBhcj0ma2V5PVBlYWNo.html,2 1/2 medium,96
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Pear,http://www.calorieking.com/foods/calories-in-fresh-fruits-pears-average-all-varieties-raw-edible-portion_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzY4NiZlaWQ9NTU5MjkyMjI1JnBvcz0xJnBhcj0ma2V5PXBlYXI.html,1 medium,96
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Plum,http://www.calorieking.com/foods/calories-in-fresh-fruits-plums-raw_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD02MzYzOCZlaWQ9NTU5MjkyNjgyJnBvcz0xJnBhcj0ma2V5PVBsdW0.html,3 whole,91
https://www.popsugar.com/fitness/Calories-Fresh-Fruit-8500460,Pluot,http://www.calorieking.com/foods/calories-in-fresh-fruits-pluot-plum-apricot_f-Y2lkPTM3MDY4JmJpZD0xJmZpZD04OTE5NiZlaWQ9NTU5MjU5MDg5JnBvcz0xJnBhcj0ma2V5PUFwcmljb3Rz.html,2 1/2 medium,100
