Table_1
url,Position,Last_Week_Position,Song,Artist
https://www.billboard.com/charts/hot-100/2018-03-17,1,Last Week: 1,God's Plan,Drake
https://www.billboard.com/charts/hot-100/2018-03-17,2,Last Week: 3,Perfect,Ed Sheeran
https://www.billboard.com/charts/hot-100/2018-03-17,3,Last Week: 4,Finesse,Bruno Mars & Cardi B
https://www.billboard.com/charts/hot-100/2018-03-17,4,Last Week: 2,Psycho,Post Malone Featuring Ty Dolla $ign
https://www.billboard.com/charts/hot-100/2018-03-17,5,Last Week: 7,Meant To Be,Bebe Rexha & Florida Georgia Line
https://www.billboard.com/charts/hot-100/2018-03-17,6,Last Week: 5,Havana,Camila Cabello Featuring Young Thug
https://www.billboard.com/charts/hot-100/2018-03-17,7,Last Week: 6,Look Alive,BlocBoy JB Featuring Drake
https://www.billboard.com/charts/hot-100/2018-03-17,8,Last Week: 11,The Middle,"Zedd, Maren Morris & Grey"
https://www.billboard.com/charts/hot-100/2018-03-17,9,Last Week: 9,Pray For Me,The Weeknd & Kendrick Lamar
https://www.billboard.com/charts/hot-100/2018-03-17,10,Last Week: 12,Stir Fry,Migos
https://www.billboard.com/charts/hot-100/2018-03-17,11,Last Week: 10,All The Stars,Kendrick Lamar & SZA
https://www.billboard.com/charts/hot-100/2018-03-17,12,Last Week: 8,Rockstar,Post Malone Featuring 21 Savage
https://www.billboard.com/charts/hot-100/2018-03-17,13,Last Week: 13,Let You Down,NF
https://www.billboard.com/charts/hot-100/2018-03-17,14,Last Week: 14,New Rules,Dua Lipa
https://www.billboard.com/charts/hot-100/2018-03-17,15,Last Week: 15,Him & I,G-Eazy & Halsey
https://www.billboard.com/charts/hot-100/2018-03-17,16,Last Week: 36,Ric Flair Drip,Offset & Metro Boomin
https://www.billboard.com/charts/hot-100/2018-03-17,17,Last Week: --,Sad!,XXXTentacion
https://www.billboard.com/charts/hot-100/2018-03-17,18,Last Week: 20,Mine,Bazzi
https://www.billboard.com/charts/hot-100/2018-03-17,19,Last Week: 24,Never Be The Same,Camila Cabello
https://www.billboard.com/charts/hot-100/2018-03-17,20,Last Week: 17,Thunder,Imagine Dragons
https://www.billboard.com/charts/hot-100/2018-03-17,21,Last Week: 18,I Fall Apart,Post Malone
https://www.billboard.com/charts/hot-100/2018-03-17,22,Last Week: --,Top Off,"DJ Khaled Featuring JAY Z, Future & B"
https://www.billboard.com/charts/hot-100/2018-03-17,23,Last Week: 28,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
https://www.billboard.com/charts/hot-100/2018-03-17,24,Last Week: 23,Lights Down Low,MAX Featuring gnash
https://www.billboard.com/charts/hot-100/2018-03-17,25,Last Week: 25,Wolves,Selena Gomez X Marshmello
https://www.billboard.com/charts/hot-100/2018-03-17,26,Last Week: 19,Love.,Kendrick Lamar Featuring Zacari
https://www.billboard.com/charts/hot-100/2018-03-17,27,Last Week: 21,Bad At Love,Halsey
