Groundhog_Day
url,Year,Shadow
http://www.stormfax.com/ghogday.htm,1887,Shadow
http://www.stormfax.com/ghogday.htm,1888,Shadow
http://www.stormfax.com/ghogday.htm,1889,no record
http://www.stormfax.com/ghogday.htm,1890,NO
http://www.stormfax.com/ghogday.htm,1891,no record
http://www.stormfax.com/ghogday.htm,1892,no record
http://www.stormfax.com/ghogday.htm,1893,no record
http://www.stormfax.com/ghogday.htm,1894,no record
http://www.stormfax.com/ghogday.htm,1895,no record
http://www.stormfax.com/ghogday.htm,1896,no record
http://www.stormfax.com/ghogday.htm,1897,no record
http://www.stormfax.com/ghogday.htm,1898,Shadow
http://www.stormfax.com/ghogday.htm,1899,no record
http://www.stormfax.com/ghogday.htm,1900,Shadow
http://www.stormfax.com/ghogday.htm,1901,Shadow
http://www.stormfax.com/ghogday.htm,1902,NO
http://www.stormfax.com/ghogday.htm,1903,Shadow
http://www.stormfax.com/ghogday.htm,1904,Shadow
http://www.stormfax.com/ghogday.htm,1905,Shadow
http://www.stormfax.com/ghogday.htm,1906,Shadow
http://www.stormfax.com/ghogday.htm,1907,Shadow
http://www.stormfax.com/ghogday.htm,1908,Shadow
http://www.stormfax.com/ghogday.htm,1909,Shadow
http://www.stormfax.com/ghogday.htm,1910,Shadow
http://www.stormfax.com/ghogday.htm,1911,Shadow
http://www.stormfax.com/ghogday.htm,1912,Shadow
http://www.stormfax.com/ghogday.htm,1913,Shadow
http://www.stormfax.com/ghogday.htm,1914,Shadow
http://www.stormfax.com/ghogday.htm,1915,Shadow
http://www.stormfax.com/ghogday.htm,1916,Shadow
http://www.stormfax.com/ghogday.htm,1917,Shadow
http://www.stormfax.com/ghogday.htm,1918,Shadow
http://www.stormfax.com/ghogday.htm,1919,Shadow
http://www.stormfax.com/ghogday.htm,1920,Shadow
http://www.stormfax.com/ghogday.htm,1921,Shadow
http://www.stormfax.com/ghogday.htm,1922,Shadow
http://www.stormfax.com/ghogday.htm,1923,Shadow
http://www.stormfax.com/ghogday.htm,1924,Shadow
http://www.stormfax.com/ghogday.htm,1925,Shadow
http://www.stormfax.com/ghogday.htm,1926,Shadow
http://www.stormfax.com/ghogday.htm,1927,Shadow
http://www.stormfax.com/ghogday.htm,1928,Shadow
http://www.stormfax.com/ghogday.htm,1929,Shadow
http://www.stormfax.com/ghogday.htm,1930,Shadow
http://www.stormfax.com/ghogday.htm,1931,Shadow
http://www.stormfax.com/ghogday.htm,1932,Shadow
http://www.stormfax.com/ghogday.htm,1933,Shadow
http://www.stormfax.com/ghogday.htm,1934,NO
http://www.stormfax.com/ghogday.htm,1935,Shadow
http://www.stormfax.com/ghogday.htm,1936,Shadow
http://www.stormfax.com/ghogday.htm,1937,Shadow
http://www.stormfax.com/ghogday.htm,1938,Shadow
http://www.stormfax.com/ghogday.htm,1939,Shadow
http://www.stormfax.com/ghogday.htm,1940,Shadow
http://www.stormfax.com/ghogday.htm,1941,Shadow
http://www.stormfax.com/ghogday.htm,1942,Shadow
http://www.stormfax.com/ghogday.htm,1943,NO
http://www.stormfax.com/ghogday.htm,1944,Shadow
http://www.stormfax.com/ghogday.htm,1945,Shadow
http://www.stormfax.com/ghogday.htm,1946,Shadow
http://www.stormfax.com/ghogday.htm,1947,Shadow
http://www.stormfax.com/ghogday.htm,1948,Shadow
http://www.stormfax.com/ghogday.htm,1949,Shadow
http://www.stormfax.com/ghogday.htm,1950,NO
