Table_1
url,Rank,Team,2017_Record
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,1.,Philadelphia Eagles,13-3
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,2.,New England Patriots,13-3
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,3.,Minnesota Vikings,13-3
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,4.,New Orleans Saints,11-5
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,5.,Pittsburgh Steelers,13-3
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,6.,Los Angeles Rams,11-5
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,7.,Atlanta Falcons,10-6
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,8.,Jacksonville Jaguars,10-6
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,9.,Green Bay Packers,7-9
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,10.,Houston Texans,4-12
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,11.,San Francisco 49ers,6-10
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,12.,Carolina Panthers,11-5
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,13.,Seattle Seahawks,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,14.,Kansas City Chiefs,10-6
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,15.,Los Angeles Chargers,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,16.,Tennessee Titans,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,17.,Dallas Cowboys,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,18.,Detroit Lions,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,19.,Denver Broncos,5-11
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,20.,Washington Redskins,7-9
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,21.,Oakland Raiders,6-10
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,22.,Cincinnati Bengals,7-9
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,23.,Buffalo Bills,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,24.,Baltimore Ravens,9-7
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,25.,Tampa Bay Buccaneers,5-11
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,26.,New York Jets,5-11
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,27.,New York Giants,3-13
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,28.,Chicago Bears,5-11
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,29.,Arizona Cardinals,8-8
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,30.,Cleveland Browns,0-16
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,31.,Indianapolis Colts,4-12
http://www.espn.com/nfl/story/_/page/NFLpowerrankingsx180327/2018-nfl-power-rankings-risers-fallers-free-agency,32.,Miami Dolphins,6-10
