National_Capitals
url,Capital_City,Country,Notes
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Abu Dhabi,United Arab Emirates,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Abuja,Nigeria,Lagos was the capital from 1914 to 1991
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Accra,Ghana,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Adamstown,Pitcairn,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Addis Ababa,Ethiopia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Algiers,Algeria,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Alofi,Niue,Self-governing in free association with New Zealand
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Amman,Jordan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Amsterdam,Netherlands,"The Dutch constitution refers to Amsterdam as the ""capital"". The Dutch government is located in the Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions. See Capital of the Netherlands."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Andorra la Vella,Andorra,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ankara,Turkey,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Antananarivo,Madagascar,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Apia,Samoa,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ashgabat,Turkmenistan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Asmara,Eritrea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Astana,Kazakhstan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Asunción,Paraguay,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Athens,Greece,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Avarua,Cook Islands,Self-governing in free association with New Zealand.
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Baghdad,Iraq,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Baku,Azerbaijan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bamako,Mali,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bandar Seri Begawan,Brunei,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bangkok,Thailand,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bangui,Central African Republic,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Banjul,Gambia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Basseterre,Saint Kitts and Nevis,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Beijing,China,See also: List of historical capitals of China
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Beirut,Lebanon,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Belgrade,Serbia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Belmopan,Belize,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Berlin,Germany,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bern,Switzerland,De facto capital
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bishkek,Kyrgyzstan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bissau,Guinea-Bissau,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bogotá,Colombia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Brasília,Brazil,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bratislava,Slovakia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Brazzaville,Republic of the Congo,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bridgetown,Barbados,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Brussels,Belgium,Also the de facto capital of the European Union
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bucharest,Romania,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Budapest,Hungary,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Buenos Aires,Argentina,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Bujumbura,Burundi,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Cairo,Egypt,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Canberra,Australia,
