Table_1
url,Season,Start_Date,End_Date,Duration
http://diablo.wikia.com/wiki/Season,1,29 Aug 2014,03 Feb 2015,"22 weeks, 4 days"
http://diablo.wikia.com/wiki/Season,2,13 Feb 2015,05 Apr 2015,"7 weeks, 3 days"
http://diablo.wikia.com/wiki/Season,3,10 Apr 2015,23 Aug 2015,"19 weeks, 2 days"
http://diablo.wikia.com/wiki/Season,4,28 Aug 2015,30 Dec 2015,"17 weeks, 5 days"
http://diablo.wikia.com/wiki/Season,5,15 Jan 2016,15 Apr 2016,13 weeks
http://diablo.wikia.com/wiki/Season,6,29 Apr 2016,22 Jul 2016,12 weeks
http://diablo.wikia.com/wiki/Season,7,05 Aug 2016,14 Oct 2016,10 weeks
http://diablo.wikia.com/wiki/Season,8,21 Oct 2016,30 Dec 2016,10 weeks
http://diablo.wikia.com/wiki/Season,9,06 Jan 2017,17 Mar 2017,10 weeks
http://diablo.wikia.com/wiki/Season,10,31 Mar 2017,23 Jun 2017,12 weeks
http://diablo.wikia.com/wiki/Season,11,20 Jul 2017,20 Oct 2017,13 weeks
http://diablo.wikia.com/wiki/Season,12,09 Nov 2017[20],11 Feb 2018,"13 weeks, 3 days"
http://diablo.wikia.com/wiki/Season,13,23 Feb 2018[21],TBD,N/A
