Best_Midsize_Cars
url,Ranking,Car,Car_link,Review_snippet,Score,Msrp,Mpg
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#1,2018 Toyota Camry,https://cars.usnews.com/cars-trucks/toyota/camry,"With more safety features, better technology, and improved handling dynamics, the redesigned 2018 Toyota Camry earns a place near the top of our rankings. Read full review »",9.3,"$23,645 - $35,100",28 City / 39 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#2,2018 Honda Accord,https://cars.usnews.com/cars-trucks/honda/accord,"The completely redesigned Honda Accord is a practical family car that’s enjoyable to drive. It fits the bill for many drivers and has few flaws, ... Read full review »",9.1,"$23,570 - $35,800",30 City / 38 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#3,2018 Toyota Camry Hybrid,https://cars.usnews.com/cars-trucks/toyota/camry-hybrid,"The Toyota Camry Hybrid is fully redesigned for 2018. It has great performance for a hybrid, impressive fuel efficiency, and a spacious and comfortable ... Read full review »",9.0,"$27,800 - $32,250",51 City / 53 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#4,2017 Mazda Mazda6,https://cars.usnews.com/cars-trucks/mazda/mazda6,"If you think of midsize sedans as only boring family cars, the 2017 Mazda6 may change your mind. Its incredibly sharp handling, responsive steering, ... Read full review »",8.6,"$21,945 - $30,695",24 City / 34 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#4,2018 Hyundai Sonata,https://cars.usnews.com/cars-trucks/hyundai/sonata,"The 2018 Hyundai Sonata sits near the top of our midsize car rankings thanks to its overall competence: It has generous storage, user-friendly tech, ... Read full review »",8.6,"$22,050 - $32,450",25 City / 36 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#4,2018 Ford Fusion,https://cars.usnews.com/cars-trucks/ford/fusion,The 2018 Ford Fusion scores in the upper tier of the midsize car class. It has a very good predicated reliability score and some ... Read full review »,8.6,"$22,215 - $38,990",21 City / 32 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#7,2018 Ford Fusion Hybrid,https://cars.usnews.com/cars-trucks/ford/fusion-hybrid,"The 2018 Ford Fusion Hybrid sits in the top third of the midsize car class. It boasts agile handling, high-quality accommodations, and a range ... Read full review »",8.5,"$25,390 - $37,370",43 City / 41 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#8,2018 Honda Accord Hybrid,https://cars.usnews.com/cars-trucks/honda/accord-hybrid,"The newly redesigned 2018 Honda Accord Hybrid finishes in the middle of our midsize car rankings. It's efficient and practical, but many classmates are ... Read full review »",8.4,"$25,100 - $34,710",47 City / 47 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#9,2018 Kia Optima,https://cars.usnews.com/cars-trucks/kia/optima,"With a user-friendly infotainment system, an array of safety and technology features, and good gas mileage, the 2018 Kia Optima sits in the top ... Read full review »",8.3,"$22,600 - $30,600",25 City / 36 Hwy
https://cars.usnews.com/cars-trucks/rankings/midsize-cars,#9,2017 Hyundai Sonata Hybrid,https://cars.usnews.com/cars-trucks/hyundai/sonata-hybrid,"The 2017 Hyundai Sonata Hybrid features good fuel economy, a comfortable and well-equipped interior, and decent performance. Its lower ranking is less indicative of ... Read full review »",8.3,"$26,000 - $38,600",39 City / 45 Hwy
