Euro_conversion
url,Currency,From_Euro_to_Currency,From_Euro_to_Currency_link,From_Currency_to_Euro,From_Currency_to_Euro_link
https://x-rates.com/table/?from=EUR&amount=1,Argentine Peso,24.790958,http://x-rates.com/graph/?from=EUR&to=ARS,0.040337,http://x-rates.com/graph/?from=ARS&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Australian Dollar,1.602371,http://x-rates.com/graph/?from=EUR&to=AUD,0.624075,http://x-rates.com/graph/?from=AUD&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Bahraini Dinar,0.462011,http://x-rates.com/graph/?from=EUR&to=BHD,2.164450,http://x-rates.com/graph/?from=BHD&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Botswana Pula,11.814947,http://x-rates.com/graph/?from=EUR&to=BWP,0.084639,http://x-rates.com/graph/?from=BWP&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Brazilian Real,4.188210,http://x-rates.com/graph/?from=EUR&to=BRL,0.238765,http://x-rates.com/graph/?from=BRL&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,British Pound,0.876826,http://x-rates.com/graph/?from=EUR&to=GBP,1.140477,http://x-rates.com/graph/?from=GBP&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Bruneian Dollar,1.617345,http://x-rates.com/graph/?from=EUR&to=BND,0.618297,http://x-rates.com/graph/?from=BND&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Bulgarian Lev,1.955830,http://x-rates.com/graph/?from=EUR&to=BGN,0.511292,http://x-rates.com/graph/?from=BGN&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Canadian Dollar,1.567188,http://x-rates.com/graph/?from=EUR&to=CAD,0.638086,http://x-rates.com/graph/?from=CAD&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Chilean Peso,732.751444,http://x-rates.com/graph/?from=EUR&to=CLP,0.001365,http://x-rates.com/graph/?from=CLP&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Chinese Yuan Renminbi,7.735806,http://x-rates.com/graph/?from=EUR&to=CNY,0.129269,http://x-rates.com/graph/?from=CNY&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Colombian Peso,3392.736334,http://x-rates.com/graph/?from=EUR&to=COP,0.000295,http://x-rates.com/graph/?from=COP&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Croatian Kuna,7.415592,http://x-rates.com/graph/?from=EUR&to=HRK,0.134851,http://x-rates.com/graph/?from=HRK&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Czech Koruna,25.353777,http://x-rates.com/graph/?from=EUR&to=CZK,0.039442,http://x-rates.com/graph/?from=CZK&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Danish Krone,7.448062,http://x-rates.com/graph/?from=EUR&to=DKK,0.134263,http://x-rates.com/graph/?from=DKK&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Emirati Dirham,4.512595,http://x-rates.com/graph/?from=EUR&to=AED,0.221602,http://x-rates.com/graph/?from=AED&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Hong Kong Dollar,9.638155,http://x-rates.com/graph/?from=EUR&to=HKD,0.103754,http://x-rates.com/graph/?from=HKD&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Hungarian Forint,310.827652,http://x-rates.com/graph/?from=EUR&to=HUF,0.003217,http://x-rates.com/graph/?from=HUF&to=EUR
https://x-rates.com/table/?from=EUR&amount=1,Icelandic Krona,123.252901,http://x-rates.com/graph/?from=EUR&to=ISK,0.008113,http://x-rates.com/graph/?from=ISK&to=EUR
