RuPaul_Drag_Race
url,Contestant,Episode_1,Episode_2,Episode_3,Episode_4,Episode_5,Episode_6,Episode_7,Episode_8
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Trixie Mattel,SAFE,SAFE,HIGH,BTM3,WIN,BTM3,WIN,Winner
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Kennedy Davenport,SAFE,BTM2,WIN,BTM3,SAFE,BTM3,BTM3,Runner-up
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,BeBe Zahara Benet,SAFE,HIGH,SAFE,SAFE,WIN,WIN,BTM3,Eliminated
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Shangela,HIGH,WIN,SAFE,WIN,BTM2,BTM3,WIN,Eliminated
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Morgan McMichaels,ELIM,,,,,IN,ELIM,Guest
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,BenDeLaCreme,WIN,WIN,WIN,WIN,SAFE,ELIM,,Guest
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Aja,WIN,SAFE,BTM3,SAFE,ELIM,OUT,,Guest
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Chi Chi DeVayne,BTM2,LOW,BTM3,ELIM,,OUT,,Guest
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Milk,SAFE,SAFE,ELIM,,,OUT,,Guest
https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars_(season_3)#Contestant_progress,Thorgy Thor,SAFE,ELIM,,,,OUT,,Guest
