cw_shows
url,time,show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,5:00 AM,Local/Various
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,5:30 AM,Local/Various
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,6:00 AM,Page Six TV
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,6:30 AM,Cops
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,7:00 AM,Maury
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,8:00 AM,The Steve Wilkos Show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,9:00 AM,The Steve Wilkos Show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,10:00 AM,The Jerry Springer Show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,11:00 AM,The Jerry Springer Show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,12:00 PM,Local/Various
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,12:30 PM,Local/Various
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,1:00 PM,Local/Varous
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,1:30 PM,Local/Various
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,2:00 PM,Maury
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,3:00 PM,The Robert Irvine Show
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,4:00 PM,The Goldbergs
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,4:30 PM,The Goldbergs
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,5:00 PM,American Dad
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,5:30 PM,American Dad
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,6:00 PM,Family Guy
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,6:30 PM,Family Guy
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,7:00 PM,The Flash
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,8:00 PM,The 100
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,9:00 PM,Page Six TV
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,9:30 PM,Seinfeld
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,10:00 PM,Seinfeld
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,10:30 PM,Rules of Engagement
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,11:00 PM,Rules of Engagement
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,11:30 PM,The King of Queens
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,12:00 AM,King of the Hill
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,12:30 AM,Cops
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,1:00 AM,Top 30
http://yourcwtv.com/partners/wausau/schedule.php?curDate=04/24/2018&cday=TUESDAY,1:30 AM,Local/Various
