jio
url,Plan_Heading,price,data,validity
https://www.jio.com/en-in/4g-plans,CRICKET PACK,251,102GB DATA,Validity: 51 days
https://www.jio.com/en-in/4g-plans,SACHETS PACKS,19; 52,0.15GB DATA; 1.05GB DATA,Validity: 1 days; Validity: 7 days
https://www.jio.com/en-in/4g-plans,MOST AFFORDABLE PLANS,98,2GB DATA,Validity: 28 days
https://www.jio.com/en-in/4g-plans,"1 GB/DAY
 1.5 GB/DAY PACKS",,42GB DATA; 105GB DATA; 126GB DATA; 136GB DATA,Validity: 28 days; Validity: 70 days; Validity: 84 days; Validity: 91 days
https://www.jio.com/en-in/4g-plans,"1.5 GB/DAY
 2 GB/DAY PACKS",198; 398; 448; 498,56GB DATA; 140GB DATA; 168GB DATA; 182GB DATA,Validity: 28 days; Validity: 70 days; Validity: 84 days; Validity: 91 days
https://www.jio.com/en-in/4g-plans,"2 GB/DAY
 3 GB/DAY PACKS",299,84GB DATA,Validity: 28 days
https://www.jio.com/en-in/4g-plans,"3 GB/DAY
 4 GB/DAY PACKS",509,112GB DATA,Validity: 28 days
https://www.jio.com/en-in/4g-plans,5 GB/DAY PACKS,799,140GB DATA,Validity: 28 days
https://www.jio.com/en-in/4g-plans,LONG TERM PACKS,999; 1999; 4999; 9999,60GB DATA; 125GB DATA; 350GB DATA; 750GB DATA,Validity: 90 days; Validity: 180 days; Validity: 360 days; Validity: 360 days
https://www.jio.com/en-in/4g-plans,JioPhone Plan,49; 153,1GB DATA; 42GB DATA,Validity: 28 days; Validity: 28 days
