Table_1
url,Image_1,Image_1_alt,Image_1_link,Search_Result,Name,Name_link,Review_Count,Cost,Category_1,Category_1_link,Category_2,Category_2_link,Neighborhood,Category_3,Category_3_link,Address,City,Phone_Number,Image_2,Image_2_alt,Image_2_link,Snippet
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media3.fl.yelpcdn.com/bphoto/3qOROp1Ab35wcJUKeMelPw/90s.jpg,Spice of Life - The Ultimate Adult Store,https://www.yelp.com/adredir?ad_business_id=BouodYeloiCj9rIQTnKkYQ&campaign_id=D4bwO9RDRdpEOE6_M4UYXQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fspice-of-life-the-ultimate-adult-store-hallandale&request_id=726775b8d0f5ca9b&signature=58643276db74ca371de80a2943659ca5ec036cdd741a7fb65f710653364bd375&slot=0,Ad,Spice of Life - The Ultimate Adult Store,https://www.yelp.com/adredir?ad_business_id=BouodYeloiCj9rIQTnKkYQ&campaign_id=D4bwO9RDRdpEOE6_M4UYXQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fspice-of-life-the-ultimate-adult-store-hallandale&request_id=726775b8d0f5ca9b&signature=58643276db74ca371de80a2943659ca5ec036cdd741a7fb65f710653364bd375&slot=0,10 reviews,$$,Adult,https://www.yelp.com/search?cflt=adult&find_desc=condoms&find_loc=Miami%2C+FL,Lingerie,https://www.yelp.com/search?cflt=lingerie&find_desc=condoms&find_loc=Miami%2C+FL,,,,2940 SW 30th Ave,"Hallandale, FL 33009",(954) 458-5200,https://s3-media2.fl.yelpcdn.com/photo/mWCQHth5t84scQrwOqdn-w/30s.jpg,Vanessa F.,https://www.yelp.com/adredir?ad_business_id=BouodYeloiCj9rIQTnKkYQ&campaign_id=D4bwO9RDRdpEOE6_M4UYXQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fspice-of-life-the-ultimate-adult-store-hallandale%3Fhrid%3DKbW60L7nkuGUhtmeigBwCA&request_id=726775b8d0f5ca9b&signature=3099ce9ab25a412ce441a010186b43eb098c5986439c16c28283410e64c4a969&slot=0,"Not that I'm a frequent adult store shopper, but the staff at this store made me feel so welcomed. It is a very clean place, which is a plus for me. A friendly staff by the name of… read more"
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media2.fl.yelpcdn.com/bphoto/A1uI7GGpqFA_dKSAN4U8BA/90s.jpg,Hustler Hollywood,https://www.yelp.com/adredir?ad_business_id=hCOrR7vW8334QnNo7L2TMA&campaign_id=rE24zrv1RtVSypK9wR4HtA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhustler-hollywood-fort-lauderdale&request_id=726775b8d0f5ca9b&signature=e61170442f32550a42fbc723fc93f45f165f560eed628ed23c869dbe1f6ea8f0&slot=1,Ad,Hustler Hollywood,https://www.yelp.com/adredir?ad_business_id=hCOrR7vW8334QnNo7L2TMA&campaign_id=rE24zrv1RtVSypK9wR4HtA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhustler-hollywood-fort-lauderdale&request_id=726775b8d0f5ca9b&signature=e61170442f32550a42fbc723fc93f45f165f560eed628ed23c869dbe1f6ea8f0&slot=1,41 reviews,$$,Lingerie,https://www.yelp.com/search?cflt=lingerie&find_desc=condoms&find_loc=Miami%2C+FL,Adult,https://www.yelp.com/search?cflt=adult&find_desc=condoms&find_loc=Miami%2C+FL,,,,1500 E Sunrise Blvd,"Fort Lauderdale, FL 33304",(954) 828-9769,https://s3-media1.fl.yelpcdn.com/photo/FaGQ_VBuvVNvnWdqcpSIGg/30s.jpg,Vicky P.,https://www.yelp.com/adredir?ad_business_id=hCOrR7vW8334QnNo7L2TMA&campaign_id=rE24zrv1RtVSypK9wR4HtA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhustler-hollywood-fort-lauderdale%3Fhrid%3DCPpEAtf6I7xvdNwOoe3DZQ&request_id=726775b8d0f5ca9b&signature=b8d9fa01b11dba7e327985ee61c964fc08d3fb8201987c4a6895be93934a211b&slot=1,"It was my first time coming here yesterday, LITERALLY at 10:30 pm looking for a last minute Halloween costume!! I had been driving all over town just to find one. I knew my chances… read more"
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media4.fl.yelpcdn.com/bphoto/pQ7OWMNs8OXvupOeZGK7ww/90s.jpg,Happy Supermarket,https://www.yelp.com/biz/happy-supermarket-miami?osq=condoms,1.,Happy Supermarket,https://www.yelp.com/biz/happy-supermarket-miami?osq=condoms,1 review,$,Grocery,https://www.yelp.com/search?cflt=grocery&find_desc=condoms&find_loc=Miami%2C+FL,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,,,,1299 NW 79th St,"Miami, FL 33147",(305) 694-0714,https://s3-media1.fl.yelpcdn.com/photo/EqOLJkpBRXEvjsPAWk0QEg/30s.jpg,Kenesha C.,https://www.yelp.com/user_details?userid=yui8DqiqcMiKd73mGmZ6MA,I'm come on!!! I'm sooo shocked Yelp even had a cornerstore on here!?!! Like are you serious?!?! But anyway you can come here to get everything from a Four Loko to a single apple… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media3.fl.yelpcdn.com/bphoto/IRiHuetVbJdwJrBga-tLwA/90s.jpg,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-3?osq=condoms,2.,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-3?osq=condoms,36 reviews,$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,Cosmetics & Beauty Supply,https://www.yelp.com/search?cflt=cosmetics&find_desc=condoms&find_loc=Miami%2C+FL,,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,501 Collins Ave,"Miami Beach, FL 33139",(786) 353-1080,https://s3-media1.fl.yelpcdn.com/photo/PszaU6JpiyloAie8NzqiXA/30s.jpg,Jah L.,https://www.yelp.com/user_details?userid=FFfPRzpYbaSX8wk2jJNXNQ,We have a nickname for this place. Lol we call it Club Walgreens because everyone who is getting ready to go to the club always stops here first. When u first walk in they have a… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media1.fl.yelpcdn.com/bphoto/e_v4pNLsH1x0Gn-nNtyxpQ/90s.jpg,Out of the Closet - Miami,https://www.yelp.com/biz/out-of-the-closet-miami-miami?osq=condoms,3.,Out of the Closet - Miami,https://www.yelp.com/biz/out-of-the-closet-miami-miami?osq=condoms,33 reviews,$,Thrift Stores,https://www.yelp.com/search?cflt=thrift_stores&find_desc=condoms&find_loc=Miami%2C+FL,"Used, Vintage & Consignment",https://www.yelp.com/search?cflt=vintage&find_desc=condoms&find_loc=Miami%2C+FL,"Midtown, Edgewater",,,2900 Biscayne Blvd,"Miami, FL 33137",(305) 764-3773,https://s3-media4.fl.yelpcdn.com/photo/X2d5DFUc2uhy58hyRAAUZw/30s.jpg,Rhonda S.,https://www.yelp.com/user_details?userid=Inwy7ncguOQdUcLtrEfBgw,My boyfriend was told that doctors don't know anything and he should not take Truvada has PreP because it is very bad for you. Condoms are the only protection to use. What kind of… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media4.fl.yelpcdn.com/bphoto/HTR4jcMWhvQZGZ3T3yMv1g/90s.jpg,Pharm-Aid,https://www.yelp.com/biz/pharm-aid-pembroke-pines?osq=condoms,4.,Pharm-Aid,https://www.yelp.com/biz/pharm-aid-pembroke-pines?osq=condoms,1 review,,Wholesale Stores,https://www.yelp.com/search?cflt=wholesale_stores&find_desc=condoms&find_loc=Miami%2C+FL,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,,Medical Supplies,https://www.yelp.com/search?cflt=medicalsupplies&find_desc=condoms&find_loc=Miami%2C+FL,12117 Pembroke Rd,"Pembroke Pines, FL 33025",(954) 544-4994,https://s3-media1.fl.yelpcdn.com/photo/prKoG-FUnddisoIHTmHRUA/30s.jpg,Tricia M.,https://www.yelp.com/user_details?userid=7jDi22ygw77yQ6IGfWt5_Q,Shopping at Pharm-Aid is more than going to your regular drugstore to fill in a prescription. This may sound cliché but it's the truth. The personalized customer service that you… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media4.fl.yelpcdn.com/bphoto/QXhJoHXBCIKmrViqk0vQtw/90s.jpg,CVS,https://www.yelp.com/biz/cvs-miami-beach-3?osq=condoms,5.,CVS,https://www.yelp.com/biz/cvs-miami-beach-3?osq=condoms,27 reviews,$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,,,,,,1421 Alton Rd,"Miami Beach, FL 33139",(305) 538-1571,https://s3-media1.fl.yelpcdn.com/photo/0SEmiDLoxh0KWBj2E_uaNQ/30s.jpg,Shawn P.,https://www.yelp.com/user_details?userid=XeNGSJjdjBQOh4G9XtOOTg,The Good : It's always open The Bad: There is Always a line even at 4 am in the morning. The Ugly: The ever changing staff means I know the stores inventory better than they do. But… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media2.fl.yelpcdn.com/bphoto/j1SmDTYGzYtxev6KTTnJdw/90s.jpg,Walgreens,https://www.yelp.com/biz/walgreens-north-miami-3?osq=condoms,6.,Walgreens,https://www.yelp.com/biz/walgreens-north-miami-3?osq=condoms,26 reviews,$$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,Cosmetics & Beauty Supply,https://www.yelp.com/search?cflt=cosmetics&find_desc=condoms&find_loc=Miami%2C+FL,,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,12295 Biscayne Blvd,"North Miami, FL 33181",(305) 893-6860,https://s3-media4.fl.yelpcdn.com/photo/bp8OMYeQzrXerMebgK9MNw/30s.jpg,Fulano D.,https://www.yelp.com/user_details?userid=vhggxVh-hyOGkSvpuo4GUg,"In my visit to purchase condoms AKA covers men wear for protection during sexual intercourse, I found the condom section locked for which I had to request help from the clerk to get… read more"
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media2.fl.yelpcdn.com/bphoto/kqbsE3RrHguGRpZ3OlG8KQ/90s.jpg,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-13?osq=condoms,7.,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-13?osq=condoms,29 reviews,$$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,Cosmetics & Beauty Supply,https://www.yelp.com/search?cflt=cosmetics&find_desc=condoms&find_loc=Miami%2C+FL,,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,1011 Alton Rd,"Miami Beach, FL 33139",(305) 424-1145,https://s3-media4.fl.yelpcdn.com/photo/Cy6vPDbVwqskYYYa6gw3cQ/30s.jpg,Erika S.,https://www.yelp.com/user_details?userid=y_3rHXUYwi2nJbz5Dm0TGA,Excellent pharmacy for everything when we needed: the pharmacists has been amazing and helpful showed a no offers...lot of tolerance oth customers no matter ho long it take up… read more
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media3.fl.yelpcdn.com/bphoto/iCvZKMQrGwF5kbrHMLEWkw/90s.jpg,Walgreens,https://www.yelp.com/biz/walgreens-hialeah-2?osq=condoms,8.,Walgreens,https://www.yelp.com/biz/walgreens-hialeah-2?osq=condoms,5 reviews,$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,Cosmetics & Beauty Supply,https://www.yelp.com/search?cflt=cosmetics&find_desc=condoms&find_loc=Miami%2C+FL,,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,7605 W 33Rd Ct,"Hialeah, FL 33018",(305) 557-6395,https://s3-media1.fl.yelpcdn.com/photo/YYPDraINpPA21sHZl3hnIw/30s.jpg,Adrian P.,https://www.yelp.com/user_details?userid=LTN5tar7Y1DJS24p-RpWwA,"Typical hialeah , staff is nice, the photo department however can take forever. Best advice get someone at the door to call the photo people over there or too help you. They keep the… read more"
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media2.fl.yelpcdn.com/bphoto/Ar62bV0Z_WQcblk8IC6LBA/90s.jpg,Target,https://www.yelp.com/biz/target-miami?osq=condoms,9.,Target,https://www.yelp.com/biz/target-miami?osq=condoms,128 reviews,$$,Department Stores,https://www.yelp.com/search?cflt=deptstores&find_desc=condoms&find_loc=Miami%2C+FL,,,Midtown,,,3401 N Miami Ave,"Miami, FL 33127",(786) 437-0164,https://s3-media1.fl.yelpcdn.com/photo/UY8SFaCZ4kVoTxapU_shBw/30s.jpg,Orlando D.,https://www.yelp.com/user_details?userid=cpGVkaanxoGpQjO4uORoeA,"one. If they were up&up brand condoms, I'd be siring a child or two right now, and my girlfriend's body would be wrecked. Is that what you're trying to do? Wreck my girlfriend's… read more"
https://www.yelp.com/search?find_desc=condoms&find_loc=Miami%2C+FL,https://s3-media3.fl.yelpcdn.com/bphoto/2TegiMGaeFa88IyKSAUbyQ/90s.jpg,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-4?osq=condoms,10.,Walgreens,https://www.yelp.com/biz/walgreens-miami-beach-4?osq=condoms,30 reviews,$,Drugstores,https://www.yelp.com/search?cflt=drugstores&find_desc=condoms&find_loc=Miami%2C+FL,Cosmetics & Beauty Supply,https://www.yelp.com/search?cflt=cosmetics&find_desc=condoms&find_loc=Miami%2C+FL,,Convenience Stores,https://www.yelp.com/search?cflt=convenience&find_desc=condoms&find_loc=Miami%2C+FL,1669 Collins Ave,"Miami Beach, FL 33139",(305) 532-7909,https://s3-media2.fl.yelpcdn.com/photo/qHgQ-hUROmOszU1ZmmNiHA/30s.jpg,Liz W.,https://www.yelp.com/user_details?userid=_gLlMnT96XAokgxvYjOSnQ,"Currently on vacation down the street from here for 8 days. Came to Miami with a cold and thought it would get better, but the head and sinus pressure was unbearable and ruining what… read more"
