Table_1
url,Country,Leader
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Russian Empire,Nicholas II
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Russian SFSR,Vladimir Lenin
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,France,Raymond Poincaré
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,United Kingdom,H. H. Asquith
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Australia,Andrew Fisher
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Canada,Robert Borden
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,South Africa,Louis Botha
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,China,Duan Qirui
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Serbia,Peter I
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Belgium,Albert I of Belgium
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Italy,Victor Emmanuel III
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Romania,Ferdinand I
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,United States of America,Woodrow Wilson
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Japan,Emperor Taishō
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Brazil,Venceslau Brás
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Greece,Constantine I
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Siam,Rama VI
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,Portugal,Afonso Costa
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,See also,
https://en.wikipedia.org/wiki/Allied_leaders_of_World_War_I#Russian_Empire,References,
