Table_1
url,Rank,Name,Name_link,State,State_link,2018_Population,2016_Population,2010_Census,Change,2018_Density
http://worldpopulationreview.com/us-cities/,1,New York,http://worldpopulationreview.com/us-cities/new-york-population/,New York,http://worldpopulationreview.com/states/new-york-population/,"8,580,015","8,537,673","8,175,133",0.25%,"11,029/km²"
http://worldpopulationreview.com/us-cities/,2,Los Angeles,http://worldpopulationreview.com/us-cities/los-angeles-population/,California,http://worldpopulationreview.com/states/california-population/,"4,030,668","3,976,322","3,792,621",0.68%,"3,321/km²"
http://worldpopulationreview.com/us-cities/,3,Chicago,http://worldpopulationreview.com/us-cities/chicago-population/,Illinois,http://worldpopulationreview.com/states/illinois-population/,"2,687,682","2,704,958","2,695,598",-0.32%,"4,565/km²"
http://worldpopulationreview.com/us-cities/,4,Houston,http://worldpopulationreview.com/us-cities/houston-population/,Texas,http://worldpopulationreview.com/states/texas-population/,"2,340,814","2,303,482","2,099,451",0.80%,"1,420/km²"
http://worldpopulationreview.com/us-cities/,5,Phoenix,http://worldpopulationreview.com/us-cities/phoenix-population/,Arizona,http://worldpopulationreview.com/states/arizona-population/,"1,679,243","1,615,017","1,445,632",1.95%,"1,252/km²"
http://worldpopulationreview.com/us-cities/,6,Philadelphia,http://worldpopulationreview.com/us-cities/philadelphia-population/,Pennsylvania,http://worldpopulationreview.com/states/pennsylvania-population/,"1,573,688","1,567,872","1,526,006",0.19%,"4,528/km²"
http://worldpopulationreview.com/us-cities/,7,San Antonio,http://worldpopulationreview.com/us-cities/san-antonio-population/,Texas,http://worldpopulationreview.com/states/texas-population/,"1,541,456","1,492,510","1,327,407",1.61%,"1,291/km²"
http://worldpopulationreview.com/us-cities/,8,San Diego,http://worldpopulationreview.com/us-cities/san-diego-population/,California,http://worldpopulationreview.com/states/california-population/,"1,438,060","1,406,630","1,307,402",1.10%,"1,710/km²"
http://worldpopulationreview.com/us-cities/,9,Dallas,http://worldpopulationreview.com/us-cities/dallas-population/,Texas,http://worldpopulationreview.com/states/texas-population/,"1,359,133","1,317,929","1,197,816",1.54%,"1,544/km²"
http://worldpopulationreview.com/us-cities/,10,San Jose,http://worldpopulationreview.com/us-cities/san-jose-population/,California,http://worldpopulationreview.com/states/california-population/,"1,030,796","1,025,350","945,942",0.26%,"2,242/km²"
http://worldpopulationreview.com/us-cities/,11,Austin,http://worldpopulationreview.com/us-cities/austin-population/,Texas,http://worldpopulationreview.com/states/texas-population/,"983,366","947,890","790,390",1.84%,"1,184/km²"
http://worldpopulationreview.com/us-cities/,12,Jacksonville,http://worldpopulationreview.com/us-cities/jacksonville-population/,Florida,http://worldpopulationreview.com/states/florida-population/,"907,529","880,619","821,784",1.50%,469/km²
http://worldpopulationreview.com/us-cities/,13,Fort Worth,http://worldpopulationreview.com/us-cities/fort-worth-population/,Texas,http://worldpopulationreview.com/states/texas-population/,"893,997","854,113","741,206",2.28%,"1,001/km²"
http://worldpopulationreview.com/us-cities/,14,San Francisco,http://worldpopulationreview.com/us-cities/san-francisco-population/,California,http://worldpopulationreview.com/states/california-population/,"888,653","870,887","805,235",1.01%,"7,315/km²"
http://worldpopulationreview.com/us-cities/,15,Columbus,http://worldpopulationreview.com/us-cities/columbus-population/,Ohio,http://worldpopulationreview.com/states/ohio-population/,"880,182","860,090","787,033",1.15%,"1,555/km²"
http://worldpopulationreview.com/us-cities/,16,Charlotte,http://worldpopulationreview.com/us-cities/charlotte-population/,North Carolina,http://worldpopulationreview.com/states/north-carolina-population/,"873,363","842,051","731,424",1.83%,"1,101/km²"
http://worldpopulationreview.com/us-cities/,17,Indianapolis,http://worldpopulationreview.com/us-cities/indianapolis-population/,Indiana,http://worldpopulationreview.com/states/indiana-population/,"860,902","855,164","820,445",0.33%,920/km²
http://worldpopulationreview.com/us-cities/,18,Seattle,http://worldpopulationreview.com/us-cities/seattle-population/,Washington,http://worldpopulationreview.com/states/washington-population/,"746,046","704,352","608,660",2.87%,"3,436/km²"
http://worldpopulationreview.com/us-cities/,19,Denver,http://worldpopulationreview.com/us-cities/denver-population/,Colorado,http://worldpopulationreview.com/states/colorado-population/,"719,116","693,060","600,158",1.85%,"1,811/km²"
