Table_1
url,Title,Title_link,Company,Location,Rating,Description,Salary
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Quality Control Lab Technician,https://www.simplyhired.com/job/eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,DuPont,"Rochester, NY",,"You have a minimum of Associates degree in biology, biotechnology, microbiology, chemistry (or equivalent) and at least 1-2 years related work experience ...","Estimated: $48,000 - $64,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,"Project Manager, Construction",https://www.simplyhired.com/job/PocwHXgJh_Wefn1PiACu6IhlvixFxL3HhZ4SiKQ-Qm6IkCZ4Z-qGAQ,IRON SWORD,"Rochester, NY",,"Demonstrated experience in healthcare, science and technology. Great opportunity to join a successful veteran-owned construction firm!...","Estimated: $85,000 - $120,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,R&D Lab Scientist,https://www.simplyhired.com/job/SNAhZ6BUSetnZIRCbYff2Z360xhqMa9JO033TIPUM6lkgMHPa10qQQ,Trison Business Solutions,"Rochester, NY",,"A Bachelor’s Degree in Chemistry/Biology, Medical Technology or related sciences field is preferred. A minimum of an Associate degree in Chemistry/Biology or...","Estimated: $38,000 - $51,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,"Staff Engineer, E.I.T.",https://www.simplyhired.com/job/GoULJMuSk_qXz64Ivb_5ae9ZPUQk9gyFxEkuzGG2jUvr6j_6l9DZKw,CME Associates,"Rochester, NY",,"Bachelor of Science in Civil or Structural Engineering (or related). The Staff Engineer, under the supervision of a Senior Professional Engineer (P.E.), is...","Estimated: $76,000 - $100,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,QC Laboratory Technologist,https://www.simplyhired.com/job/LZNfvmXbgB0fVHcfEkgYTRycag7yQAC4VPfP0lkDguRVYn1izBcL2g,American Red Cross,"W Henrietta, NY",,"Or Associate's degree in science plus three. Associates degree in science, Medical Laboratory Technician (certified through....","Estimated: $35,000 - $48,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Calibration Technician II,https://www.simplyhired.com/job/Hl2R9Xw77raZeIZD_Z1z1VTzwLQ8HhJKY49eGoRMekiMdcWEmRixiw,Transcat,"Rochester, NY",,"The employee must regularly lift and/or move up to 10 pounds, frequently lift and/or move up to 50 pounds and occasionally lift and/or move more than 100 pounds...","Estimated: $34,000 - $46,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,BioAnalytical Lab Technician,https://www.simplyhired.com/job/wjthgpZUf_8n1QMB0EZfa3L43rB0VEDixsnt-62Ni-ufGxefHKstAw,DuPont,"Rochester, NY",,"Basic Analytical Chemistry, Enzymology, Protein Chemistry. Ordering and purchasing of lab chemicals and supplies....","Estimated: $33,000 - $48,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,"Pharmaceutical Sales - Biologics (Dupixent), Rochester, NY",https://www.simplyhired.com/job/4XY_pVOzgcVH4o_egHbad4Tv3O2RbY-YY-aRV_OhzJCpNxvA6-Y4NQ,Sanofi US,"Rochester, NY",,"Demonstrate a passion and learning aptitude for science and is proactive in strengthening knowledge related to disease-state, treatment options and healthcare...","Estimated: $87,000 - $120,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Components Lab Technician,https://www.simplyhired.com/job/mhr1RCc1pZU9diyLB2cDA3TPs0odSYPUnQCcJTm7jWu7UamX4zV_WA,American Red Cross,"W Henrietta, NY",,"College studies or technical training in science or medical technology or the equivalent is preferred. Physical requirements may include standing, stretching,...","Estimated: $31,000 - $38,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Compenents Lab Technician,https://www.simplyhired.com/job/YokL5czFnJkyvauojSY5-fY0OQQ6XQSl-u-BzUU4n4-TQfYutzH06Q,American Red Cross,"W Henrietta, NY",,"College studies or technical training in science or medical technology or the equivalent is preferred. Physical requirements may include standing, stretching,...","Estimated: $28,000 - $40,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
