Table_1
url,Food,Price
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Big Mac,$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Big Mac – Meal,$5.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,2 Cheeseburgers,$2.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,2 Cheeseburgers – Meal,$4.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Quarter Pounder with Cheese,$3.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Quarter Pounder with Cheese – Meal,$5.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Double Quarter Pounder with Cheese,$4.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Double Quarter Pounder with Cheese – Meal,$6.69
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Bacon Clubhouse Burger,$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Bacon Clubhouse Burger – Meal,$6.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Buttermilk Crispy Chicken,$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Buttermilk Crispy Chicken – Meal,$6.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Artisan Grilled Chicken,$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Artisan Grilled Chicken – Meal,$6.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Chicken & Bacon (Grilled or Crispy),$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Chicken & Bacon (Grilled or Crispy) – Meal,$6.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Chicken & Ranch (Grilled or Crispy),$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Chicken & Ranch (Grilled or Crispy) – Meal,$6.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Sweet Chili Chicken (Grilled or Crispy),$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium McWrap Sweet Chili Chicken (Grilled or Crispy) – Meal,$6.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Filet-O-Fish,$3.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Filet-O-Fish – Meal,$5.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Double Filet-O-Fish,$4.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Double Filet-O-Fish – Meal,$6.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium Chicken Bacon Clubhouse (Grilled or Crispy),$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium Chicken Bacon Clubhouse (Grilled or Crispy) – Meal,$6.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Nuggets
Meals Include Medium French Fries or Salad & Soft Drink",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets,$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets – Meal,$6.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets,$5.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets,$8.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Salads
Grilled or Crispy Chicken",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Southwest Salad,$4.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Bacon Ranch Salad,$4.59
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"McPick 2 for $2
Limited Time",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Entree (McDouble or McChicken) & Side (Small Fries or 3 Pc. Mozzarella Sticks),$2.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Snacks & Sides,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken Ranch Snack Wrap (Grilled or Crispy),$1.69
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,French Fries,$1.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,French Fries,$1.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,French Fries,$1.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Mozzarella Sticks,$1.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McValue Menu & More,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Grilled Onion Cheddar Burger,$1.00
