National_Popular_Vote_-_Bills_receiving_floor_votes_in_previous_sessions
url,State,State_link,EVs,Session,Bill,Lower_house,Upper_house,Executive,Outcome
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Arizona,https://en.wikipedia.org/wiki/Arizona,11,2016,HB 2456,Passed 16–4,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Arkansas,https://en.wikipedia.org/wiki/Arkansas,6,2007,HB 1703,Passed 52–41,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Arkansas,https://en.wikipedia.org/wiki/Arkansas,6,2009,HB 1339,Passed 56–43,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,California,https://en.wikipedia.org/wiki/California,55,2005–06,AB 2948,Passed 48–30,Passed 23–14,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,California,https://en.wikipedia.org/wiki/California,55,2007–08,SB 37,Passed 45–30,Passed 21–16,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,California,https://en.wikipedia.org/wiki/California,55,2011–12,AB 459,Passed 52–15,Passed 23–15,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Colorado,https://en.wikipedia.org/wiki/Colorado,9,2006,SB 06-223,Indefinitely postponed,Passed 20–15,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Colorado,https://en.wikipedia.org/wiki/Colorado,9,2007,SB 07-046,Indefinitely postponed,Passed 19–15,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Colorado,https://en.wikipedia.org/wiki/Colorado,9,2009,HB 1299,Passed 34–29,Not voted,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Connecticut,https://en.wikipedia.org/wiki/Connecticut,7,2009,HB 6437,Passed 76–69,Not voted,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,District of Columbia,"https://en.wikipedia.org/wiki/Washington,_D.C.",3,2009–10,B18-0769,Passed 11–0,,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Delaware,https://en.wikipedia.org/wiki/Delaware,3,2009–10,HB 198,Passed 23–11,Not voted,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Delaware,https://en.wikipedia.org/wiki/Delaware,3,2011–12,HB 55,Passed 21–19,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Hawaii,https://en.wikipedia.org/wiki/Hawaii,4,2007,SB 1956,Passed 35–12,Passed 19–4,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Hawaii,https://en.wikipedia.org/wiki/Hawaii,4,2007,SB 1956,Override not voted,Overrode 20–5,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Hawaii,https://en.wikipedia.org/wiki/Hawaii,4,2008,HB 3013,Passed 36–9,Died in committee,—,Failed
