Table_1
url,English,German
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,Onwards and upwards! [also: Onward and upward!] [encouragement],Immer vorwärts! [Aufforderung nach einer unangenehmen Erfahrung]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,ahead {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,along {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forrader {adv} [mainly Br.] [more forward],vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forrard {adv} [forward],vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forth {adv} [dated] [forward],vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forwards {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,frontwards {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,onward {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,onwards {adv},vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,pol. Forward [USA] [Wisconsin state motto],Vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,"forward {adv} <fwd, fwrd, fw>",vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forward {adj},Vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,forwards {adv},Vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,Come along!,Vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,Come on!,Vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,dead ahead,genau vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,fast forward {adj},Schnell-Vorwärts-
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,made progress {past-p},vorwärts gekommen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,onwardly {adv},vorwärts schreitend [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,propulsive {adj},vorwärts treibend [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,mil. Forward march!,"Vorwärts, marsch!"
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to bull,(vorwärts) drängen
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to bend forward,vorwärts beugen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to advance,vorwärts bewegen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to move forward,vorwärts bewegen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to put forward,vorwärts bewegen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to page down,vorwärts blättern [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to advance,vorwärts bringen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to bring forward,vorwärts bringen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to press forward,vorwärts drängen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to advance,vorwärts gehen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to come on,vorwärts gehen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to move forward,vorwärts gehen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to progress,vorwärts gehen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to proceed,vorwärts gehen [alt] [fortschreiten]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to help on,vorwärts helfen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to forge ahead,vorwärts kommen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to get ahead,vorwärts kommen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to get on [to advance],vorwärts kommen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to make progress,vorwärts kommen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to tilt forwards,vorwärts neigen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to look forward [fig.] [not back],vorwärts schauen [fig.] [in die Zukunft]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to dash forward,vorwärts schießen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,to bring forward,vorwärts tragen [alt]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,sports scorpion kick,Fallrückzieher {m} vorwärts [Scorpion-Kick]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,sports front handspring,Handstützüberschlag {m} vorwärts [Turnen]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,dance forward lock,Kreuzschritt {m} vorwärts [Quickstep]
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,sports forward roll,Rolle {f} vorwärts
https://de-en.dict.cc/?s=Immer%20vorw%C3%A4rts,sports roll forwards,Rolle {f} vorwärts
