Largest_Shopping_Malls_in_America
url,Rank,Mall_Name,Mall_Name_link,Location,Location_link,Metro_Area,Metro_Area_link,Retail_Space_(sq._ft_/_m^s),Stores,Anchor_Stores/Entertainment_Venues,Year_Opened,Ownership
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,1,King of Prussia,https://en.wikipedia.org/wiki/King_of_Prussia_Mall,"King of Prussia, Pennsylvania","https://en.wikipedia.org/wiki/King_of_Prussia,_Pennsylvania",Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,"2,900,000 square feet (270,000 m",450; 450,"Macy's, Nordstrom, Primark, Dick's Sporting Goods, Bloomingdale's, Lord & Taylor, Neiman Marcus",1963,"King of Prussia Associates, Simon Property Group"
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,2,Aventura Mall,https://en.wikipedia.org/wiki/Aventura_Mall,"Aventura, Florida","https://en.wikipedia.org/wiki/Aventura,_Florida",Miami,https://en.wikipedia.org/wiki/Miami,"2,700,000 square feet (250,000 m",300+[3]; 300+,"Nordstrom, Bloomingdale’s, Macy's (2 Stores), JCPenney, AMC Theaters",1983,"Turnberry Associates, Simon Property Group"
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,3,Mall of America,https://en.wikipedia.org/wiki/Mall_of_America,"Bloomington, Minnesota","https://en.wikipedia.org/wiki/Bloomington,_Minnesota",Minneapolis,https://en.wikipedia.org/wiki/Minneapolis,"2,500,000 square feet (230,000 m",500; 500,"Macy's, Sears, Nordstrom (Rack), Best Buy, Forever21, Marshall's, Nickelodeon Universe, LEGO World, American Girl, Sea Life Minnesota Aquarium, FlyOver America, JW Marriott, Radisson Blu",1992,Triple Five Group
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,4,South Coast Plaza,https://en.wikipedia.org/wiki/South_Coast_Plaza,"Costa Mesa, California","https://en.wikipedia.org/wiki/Costa_Mesa,_California",Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles,"2,600,000 square feet (240,000 m",280; 280,"Macy's (3 stores – Main, Men's, Home), Sears, Nordstrom, Saks Fifth Avenue, Bloomingdale's",1967,Segerstrom family
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,5,Del Amo Fashion Center,https://en.wikipedia.org/wiki/Del_Amo_Fashion_Center,"Torrance, California","https://en.wikipedia.org/wiki/Torrance,_California",Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles_County,"2,600,000 square feet (240,000 m",200+; 200+,"Nordstrom, Macy's (2 stores – Main and Men, Home, and Furniture), JCPenney, Sears, T.J. Maxx, Marshalls, Burlington Coat Factory, JO-ANN Fabric and Craft, AMC Theaters",1961,Simon Property Group
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,6,Destiny USA,https://en.wikipedia.org/wiki/Destiny_USA,"Syracuse, New York","https://en.wikipedia.org/wiki/Syracuse,_New_York",Syracuse,https://en.wikipedia.org/wiki/Syracuse_metropolitan_area,"2,450,000 square feet (228,000 m",250+; 250+,"Macy's, JCPenney, Best Buy, Lord & Taylor, H&M, Dave & Buster's, Off Broadway Shoes, Nordstrom Rack, Saks Off Fifth, DSW Shoe Warehouse, DICK'S Sporting Goods, Forever 21, Old Navy, Burlington Coat Factory, At Home, T.J. Maxx, Sears Outlet, Pole Position Raceway, Regal IMAX theater, Regal Cinemas, Destiny USA Hotel",1990 (expanded in 2012 which added 40+ stores),The Pyramid Companies
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,7,The Galleria,https://en.wikipedia.org/wiki/The_Galleria,"Houston, Texas","https://en.wikipedia.org/wiki/Houston,_Texas",Houston,"https://en.wikipedia.org/wiki/Houston,_Texas","2,400,000 square feet (220,000 m",375; 375,"Nordstrom, Macy's, Neiman Marcus, Saks Fifth Avenue",1970,"Simon Property Group, Walton Street Real Estate Funds, Sony Corporation & CalPERS"
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,8,Ala Moana Center,https://en.wikipedia.org/wiki/Ala_Moana_Center,"Honolulu, Hawaii","https://en.wikipedia.org/wiki/Honolulu,_Hawaii",Honolulu,https://en.wikipedia.org/wiki/Honolulu,"2,400,000 square feet (220,000 m",330+; 330+,"Macy’s, Nordstrom, Neiman Marcus, Shirokiya, Bloomingdale's, Forever 21, Saks Fifth Avenue Off 5th",1959,General Growth Properties
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,9,Tysons Corner Center,https://en.wikipedia.org/wiki/Tysons_Corner_Center,"McLean, Virginia","https://en.wikipedia.org/wiki/McLean,_Virginia","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","2,400,000 square feet (220,000 m",300; 300,"Bloomingdale’s, Macy’s, Nordstrom, Lord & Taylor, AMC Theatres, L. L. Bean, Barnes and Noble, American Girl",1968,Macerich
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,10,Roosevelt Field,https://en.wikipedia.org/wiki/Roosevelt_Field_(Shopping_Mall),"Garden City, New York","https://en.wikipedia.org/wiki/Garden_City,_New_York",New York City,https://en.wikipedia.org/wiki/New_York_metropolitan_area,"2,400,000 square feet (220,000 m",294; 294,"Macy’s, Bloomingdale’s, Nordstrom, JCPenney, Dick's Sporting Goods, Neiman Marcus, AMC, X Sport Fitness, Capital Grill, Season's 52, Grande Lux Café, Havana Central, Le Pain Quotidien, Game Stop, Hot Topic",1956,Simon Property Group
