Handmaids_Tale_Season_2
url,title,content
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 1: June",Offred reckons with the consequences of a dangerous decision while haunted by memories from her past and the violent beginnings of Gilead.
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 2: Unwomen",Offred adjusts to a new way of life; the arrival of an unexpected person disrupts the colonies; a family is torn apart by the rise of Gilead.
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 3: Baggage","Offred reflects on her relationship with her mother as she navigates her way through Gilead. In Little America, Moira tries to cope with the trauma she endured."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 4: Other Women","Offred’s capture takes her back to Gillead and to the Waterford’s, what will ensue?"
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 5: Seeds",Is Gillead finally getting to Offred? Her actions speaks volumes in Episode 5 of Handmaid's Tale Season 2.
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 6: First Blood",Offred finds unexpected allies and obstacles in her search for a way to protect Hannah. The Commander prepares for the dedication of a new Red Center. Nick struggles with his new assignment.
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,"The Handmaid's Tale Season 2, Episode 7: After",An attack sends shockwaves through both Gilead and Little America. Serena Joy makes a dangerous choice in order to protect her family. Moira searches for someone from her past.
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,The Handmaid's Tale Season 2 Release Date,"Hulu will once again release the show in small batches, rather than in one big binge. The first two episodes of; The Handmaid's Tale; Season 2 arrived on April 25."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,The Handmaid's Tale Season 2 Trailer,Check out the full length trailer for; The Handmaid's Tale; Season 2!
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,Here's all the earlier footage we've seen so far...
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,The Handmaid's Tale Season 2 Story,Here's the official synopsis:
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"""The Emmy-winning drama series returns with a second season shaped by Offred’s pregnancy and her ongoing fight to free her future child from the dystopian horrors of Gilead. 'Gilead is within you' is a favorite saying of Aunt Lydia. In Season Two, Offred and all our characters will fight against – or succumb to – this dark truth."""
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,On the new scripts Moss offered: “I read the outline and got full body chills. Give up trying to guess what happens.”
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"The Handmaid's Tale; is set in the near-future in the dystopia Republic of Gilead where women are subjected and stripped of their individualism. Handmaids are fertile young women who are forced to submit to ritualized rape and bear the children of the ruling class. The series follows Offred, a handmaid, who pledges to survive and fight the unjust totalitarian rule. The dystopian thriller was created by Bruce Miller and is based on the 1985 novel of the same name by Margaret Atwood."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,The Handmaid's Tale Season 2 Cast,We'll see more Rita in season two. Amanda Brugel has been promoted to a series regular according to
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"Alexis Bledel's Ofglen will be back. According to; , Bledel has signed as a series regular for another season."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"Sydney Sweeney will recur on; Season 2,; . She will play a 15-year-old named Eden, who is described as “pious and obedient.” The character will represent a new wave of believers in the rule of Gilead, armed with unflinching faith and aspirations to raise her lot in life by becoming a Commander’s wife. She is also described as being “naïve and dangerous to those around her,” making her an interesting player thrown into the mix of a sophomore season that will focus on the pregnancy of Offred (Elisabeth Moss) and her clandestine activism against the theocratic misogynist dystopia."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"In other exciting news (; ), Tony and Emmy Award winner Cherry Jones has been cast as Offred’s activist mother, Holly, in the second season."
http://www.denofgeek.com/us/tv/the-handmaids-tale/264418/the-handmaids-tale-season-2-episode-7-promo-details-more-info,,"Sweeney, an American actress, comes into what will be her highest profile role with; . She previously fielded TV runs on; and; , with guest spots on shows such as; ,; ,; ,; and; . She’ll next appear as a regular on the upcoming 1990s-set Netflix series,; and the 2018 horror film,; ."
