Table_1
url,Product_Number,Product_Number_link,Title,Revision_Date,Posted_Date
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Product Number; Title; Revision Date; Posted Date,https://apps.irs.gov/app/picklist/list/formsPublications.html?sortColumn=sortOrder&indexOfFirstRow=0&value=&criteria=&resultsPerPage=200&isDescending=true; https://apps.irs.gov/app/picklist/list/formsPublications.html?sortColumn=title&indexOfFirstRow=0&value=&criteria=&resultsPerPage=200&isDescending=false; https://apps.irs.gov/app/picklist/list/formsPublications.html?sortColumn=currentYearRevDate&indexOfFirstRow=0&value=&criteria=&resultsPerPage=200&isDescending=false; https://apps.irs.gov/app/picklist/list/formsPublications.html?sortColumn=postedDate&indexOfFirstRow=0&value=&criteria=&resultsPerPage=200&isDescending=true,,,
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 1,https://www.irs.gov/pub/irs-pdf/p1.pdf,Your Rights As A Taxpayer,0917,10/31/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 1 (SP),https://www.irs.gov/pub/irs-pdf/p1sp.pdf,Derechos del Contribuyente,1017,11/08/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 3,https://www.irs.gov/pub/irs-pdf/p3.pdf,Armed Forces' Tax Guide,2017,02/21/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 5,https://www.irs.gov/pub/irs-pdf/p5.pdf,Your Appeal Rights and How to Prepare a Protest if you Don't Agree,0199,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 5 (SP),https://www.irs.gov/pub/irs-pdf/p5sp.pdf,Your Appeal Rights and How to Prepare a Protest if you Don't Agree (Spanish version),0605,03/06/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 11-C,https://www.irs.gov/pub/irs-pdf/f11c.pdf,Occupational Tax and Registration Return for Wagering,1217,12/21/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 15,https://www.irs.gov/pub/irs-pdf/p15.pdf,"Circular E, Employer's Tax Guide",2018,01/29/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 15,https://www.irs.gov/pub/irs-pdf/p15_17.pdf,"Circular E, Employer's Tax Guide",2017,01/30/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 15-A,https://www.irs.gov/pub/irs-pdf/p15a.pdf,"Employer's Supplemental Tax Guide (Supplement to Circular E, Employer's Tax Guide, Publication 15)",2018,02/27/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 15-B,https://www.irs.gov/pub/irs-pdf/p15b.pdf,Employer's Tax Guide to Fringe Benefits,2018,03/05/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 17,https://www.irs.gov/pub/irs-pdf/p17.pdf,Your Federal Income Tax (For Individuals),2017,12/14/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 17 (SP),https://www.irs.gov/pub/irs-pdf/p17sp.pdf,Your Federal Income Tax (Spanish version),2017,01/12/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 23,https://www.irs.gov/pub/irs-pdf/f23.pdf,Application for Enrollment to Practice Before the Internal Revenue Service,0417,04/20/2017
