Table_1
url,2018_Deadline,Activity
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"January 1, 2018","First day to file a federal tax return, though the IRS generally will not accept e-file and free file returns until the date below. Even paper based filings won't be processed till later in the month"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"January 29, 2018","IRS E-file to go live, allowing submission of electronic tax returns for the vast majority of tax filers. Paper tax returns will begin processing later in mid-February as IRS system updates continue (IRS recommends e-filing for faster refunds)"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"February 9, 2018","Date by which you should have received a W-2 from employers you worked for during the tax year. If not, contact their HR/Payroll department to resend tax documents"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"February 9, 2018","Deadline for 1099 statements (factors in your AGI income) that report non-employee compensation, bank interest, dividends and distributions from a retirement plan. This date is also the deadline for self-employed individuals to file and pay in full their fourth-quarter estimated tax payment"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"February 23, 2018","Financial institutions (e.g Vanguard, Fidelity) must mail out 1099-B, 1099-S and 1099-MISC forms by this date. See what these forms are and if you will need one for your return"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"March 17, 2018",S Corporation and Partnership tax returns due
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"April 17, 2018","*Tax Day* Last day for filing federal income tax returns and extension requests. Since April 15th is a Saturday and Monday is the Emancipation Day holiday the due date has been shifted out to Tuesday, April 18th."
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"April 17, 2018","Deadline for filing state income tax returns (for most states) and extension requests. Last day to make a contribution to a Traditional or Roth IRA, Health Savings Account (HSA), SEP-IRA or 401(k)"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"April 17, 2018","FBAR (Foreign Bank Account Report) forms due for taxpayers who have signature authority over $10,000 in total in foreign bank accounts in the prior year. Laws enacted last year change the standard FBAR due date to ""tax day"" (vs June 30th as in years past). No extensions are allowed and forms must be filed electronically."
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"June 17, 2018",U.S. citizens or resident aliens living abroad must file tax returns and pay any taxes due by this date (or file for a four-month extension)
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"October 17, 2018","Filing approved extended federal, state and S-Corp/Partnership income tax returns Note: you still need to file for an extension request by April 17th"
http://www.savingtoinvest.com/when-can-i-file-my-taxes-and-other-key-tax-filing-extension-and-refund-dates/,"April 15, 2021","Filing a 2017 tax amendment. You can file an amended or previous year return anytime, but you have a deadline of 3 years from the original due date to claim any tax refund."
