Table_1
url,Display_Model,Display_Model_link,Size,Resolution,Refresh_Rate,Motion_Blur
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB252Q,https://www.amazon.com/dp/B01N34Q6LF?tag=blurbust-20,24.5″ TN,1920×1080,240 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB272,https://www.amazon.com/dp/B071D6NGMH?tag=blurbust-20,27″ TN,1920×1080,240 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG258Q,https://www.amazon.com/dp/B06WRP3F5S?tag=blurbust-20,24.5″ TN,1920×1080,240 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,AOC AGON AG251FG,https://www.amazon.co.uk/dp/B0735L88KF?tag=blurbust-21,24.5″ TN,1920×1080,240 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Dell Alienware AW2518H,https://www.amazon.com/dp/B0733VW5QB?tag=blurbust-20,24.5″ TN,1920×1080,240 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator Z301C,https://www.amazon.com/dp/B01M1CI273?tag=blurbust-20,30″ VA,2560×1080,200 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator Z35,https://www.amazon.com/dp/B01A0FEBXQ?tag=blurbust-20,35″ VA,2560×1080,200 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB241H,https://www.amazon.com/dp/B01C05C1OK?tag=blurbust-20,24″ TN,1920×1080,180 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG248Q,https://www.amazon.com/dp/B01M4NEZL9?tag=blurbust-20,24″ TN,1920×1080,180 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB241YU,https://www.amazon.com/dp/B01LJUNMYK?tag=blurbust-20,24″ TN,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,LG 32GK850G,https://www.amazon.com/dp/B078TTXLW5?tag=blurbust-20,31.5″ VA,2560×1440,165 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB271HU,https://www.amazon.com/dp/B0173PEX20?tag=blurbust-20,27″ IPS,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,AOC AG271QG,https://www.amazon.com/dp/B01G5JYMNA?tag=blurbust-20,27″ IPS,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,AOC AGON AG241QG,https://www.amazon.com/dp/B01N7QDNJ8?tag=blurbust-20,24″ TN,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG278QR,https://www.amazon.com/dp/B01N4ENDXR?tag=blurbust-20,27″ TN,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG279Q,https://www.amazon.com/dp/B017EVR2VM?tag=blurbust-20,27″ IPS,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Dell S2417DG,https://www.amazon.com/dp/B01IOO4SGK?tag=blurbust-20,24″ TN,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Viewsonic XG2703-GS,https://www.amazon.com/dp/B01LWJMM1S?tag=blurbust-20,27″ IPS,2560×1440,165 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB270HU,https://www.amazon.com/dp/B00UPVXDA8?tag=blurbust-20,27″ IPS,2560×1440,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG278Q,https://www.amazon.com/dp/B00MSOND8C?tag=blurbust-20,27″ TN,2560×1440,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Dell S2716DG,https://www.amazon.com/dp/B0149QBOF0?tag=blurbust-20,27″ TN,2560×1440,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB270H,https://www.amazon.com/dp/B00NUCRBCU?tag=blurbust-20,27″ TN,1920×1080,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer XB240H,https://www.amazon.com/dp/B00QS0AK6U?tag=blurbust-20,24″ TN,1920×1080,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,AOC G2460PG,https://www.amazon.com/dp/B00SIZ8QDM?tag=blurbust-20,24″ TN,1920×1080,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Philips 272G5DYEB,https://www.amazon.com/dp/B00MUTW5LG?tag=blurbust-20,27″ TN,1920×1080,144 Hz,ULMB
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,BenQ XL2420G,https://www.amazon.com/dp/B00MUT6SLE?tag=blurbust-20,24″ TN,1920×1080,144 Hz,BENQ Blur Reduction
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator Z271,https://www.amazon.com/dp/B01I0NF8RI?tag=blurbust-20,27″ VA,1920×1080,144 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Lenovo Y27g,https://www.amazon.com/dp/B01FXDVZF2?tag=blurbust-20,27″ VA,1920×1080,144 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,LG 34UC89G-B,https://www.amazon.com/dp/B0728JH3RQ?tag=blurbust-20,34″ IPS,2560×1080,144 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Dell Alienware AW3418DW,https://www.amazon.com/dp/B0777RY75V?tag=blurbust-20,34″ IPS,3440×1440,120 Hz,•
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator Z35P,https://www.amazon.com/dp/B06ZZDYVQM?tag=blurbust-20,35″ VA,3440×1440,120 Hz,•
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator X34,https://www.amazon.com/dp/B016GNX4SE?tag=blurbust-20,34″ IPS,3440×1440,100 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,AOC AGON AG352UCG,https://www.amazon.com/dp/B06X9CBRTP?tag=blurbust-20,34″ IPS,3440×1440,100 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS ROG PG348Q,https://www.amazon.com/dp/B01C83BE6U?tag=blurbust-20,34″ IPS,3440×1440,100 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,HP OMEN X 35,https://www.amazon.com/dp/B01N0TFAW6?tag=blurbust-20,34″ VA,3440×1440,100 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB271HK,https://www.amazon.com/dp/B018MYTF4W?tag=blurbust-20,27″ IPS,3840×2160,60 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB280HK,https://www.amazon.com/dp/B00O0Z5682?tag=blurbust-20,28″ TN,3840×2160,60 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB281HK,https://www.amazon.com/dp/B015ZGV34U?tag=blurbust-20,28″ TN,3840×2160,60 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,Acer Predator XB321HK,https://www.amazon.com/dp/B01A3N60A2?tag=blurbust-20,32″ IPS,3840×2160,60 Hz,
https://www.blurbusters.com/gsync/list-of-gsync-monitors/,ASUS PG27AQ,https://www.amazon.com/dp/B01AWGY9MG?tag=blurbust-20,27″ IPS,3840×2160,60 Hz,
