Table_1
url,Year,Day,Details,Details_link,Type,Type_link
https://en.wikipedia.org/wiki/Election_Day_(United_States),2000,November 7,"United States elections, 2000","https://en.wikipedia.org/wiki/United_States_elections,_2000",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2001,November 6,"United States elections, 2001","https://en.wikipedia.org/wiki/United_States_elections,_2001",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2002,November 5,"United States elections, 2002","https://en.wikipedia.org/wiki/United_States_elections,_2002",Midterm,https://en.wikipedia.org/wiki/United_States_midterm_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2003,November 4,"United States elections, 2003","https://en.wikipedia.org/wiki/United_States_elections,_2003",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2004,November 2,"United States elections, 2004","https://en.wikipedia.org/wiki/United_States_elections,_2004",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2005,November 8,"United States elections, 2005","https://en.wikipedia.org/wiki/United_States_elections,_2005",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2006,November 7,"United States elections, 2006","https://en.wikipedia.org/wiki/United_States_elections,_2006",Midterm,https://en.wikipedia.org/wiki/United_States_midterm_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2007,November 6,"United States elections, 2007","https://en.wikipedia.org/wiki/United_States_elections,_2007",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2008,November 4,"United States elections, 2008","https://en.wikipedia.org/wiki/United_States_elections,_2008",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2009,November 3,"United States elections, 2009","https://en.wikipedia.org/wiki/United_States_elections,_2009",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2010,November 2,"United States elections, 2010","https://en.wikipedia.org/wiki/United_States_elections,_2010",Midterm,https://en.wikipedia.org/wiki/United_States_midterm_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2011,November 8,"United States elections, 2011","https://en.wikipedia.org/wiki/United_States_elections,_2011",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2012,November 6,"United States elections, 2012","https://en.wikipedia.org/wiki/United_States_elections,_2012",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2013,November 5,"United States elections, 2013","https://en.wikipedia.org/wiki/United_States_elections,_2013",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2014,November 4,"United States elections, 2014","https://en.wikipedia.org/wiki/United_States_elections,_2014",Midterm,https://en.wikipedia.org/wiki/United_States_midterm_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2015,November 3,"United States elections, 2015","https://en.wikipedia.org/wiki/United_States_elections,_2015",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2016,November 8,"United States elections, 2016","https://en.wikipedia.org/wiki/United_States_elections,_2016",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2017,November 7,"United States elections, 2017","https://en.wikipedia.org/wiki/United_States_elections,_2017",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2018,November 6,"United States elections, 2018","https://en.wikipedia.org/wiki/United_States_elections,_2018",Midterm,https://en.wikipedia.org/wiki/United_States_midterm_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2019,November 5,"United States elections, 2019","https://en.wikipedia.org/wiki/United_States_elections,_2019",Off-year,https://en.wikipedia.org/wiki/Off-year_election
https://en.wikipedia.org/wiki/Election_Day_(United_States),2020,November 3,"United States elections, 2020","https://en.wikipedia.org/wiki/United_States_elections,_2020",Presidential,https://en.wikipedia.org/wiki/United_States_presidential_election
