Easter_Info
url,Weekday,Date,Year,Name,Holiday_Type
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 4,2010,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 24,2011,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 8,2012,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Mar 31,2013,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 20,2014,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 5,2015,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Mar 27,2016,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 16,2017,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 1,2018,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 21,2019,Easter Sunday,"Observance, Christian"
https://www.timeanddate.com/holidays/us/easter-sunday,Sun,Apr 12,2020,Easter Sunday,"Observance, Christian"
