EquinoxTable
url,Year,Date,Day,Days_Ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2010,"March 20, 2010",Saturday,2946 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2011,"March 20, 2011",Sunday,2581 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2012,"March 20, 2012",Tuesday,2215 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2013,"March 20, 2013",Wednesday,1850 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2014,"March 20, 2014",Thursday,1485 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2015,"March 20, 2015",Friday,1120 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2016,"March 20, 2016",Sunday,754 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2017,"March 20, 2017",Monday,389 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2018,"March 20, 2018",Tuesday,24 days ago
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2020,"March 20, 2020",Friday,in 707 days
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2021,"March 20, 2021",Saturday,in 1072 days
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2022,"March 20, 2022",Sunday,in 1437 days
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2023,"March 20, 2023",Monday,in 1802 days
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2024,"March 20, 2024",Wednesday,in 2168 days
http://www.calendarpedia.com/when-is/spring-equinox.html,Spring Equinox 2025,"March 20, 2025",Thursday,in 2533 days
