Table_1
url,Age/Gender,Water_Intake
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,0–6 months infants,"0.7 L/day of water, assumed to be from human milk."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,7–12 months infants,"0.8 L/day of total water, assumed to be from human milk, complementary foods and beverages. This includes approximately 0.6 L (≈ 3 cups) as total fluid, including formula or human milk, juices, and drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,1–3 years children,"1.3 L/day of total water. This includes approximately 0.9 L (≈ 4 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,4–8 years children,"1.7 L/day of total water. This includes approximately 1.2 L (≈ 5 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,9–13 years boys,"2.4 L/day of total water. This includes approximately 1.8 L (≈ 8 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,14–18 years boys,"3.3 L/day of total water. This includes approximately 2.6 L (≈ 11 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,9–13 years girls,"2.1 L/day of total water. This includes approximately 1.6 L (≈ 7 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,14–18 years girls,"2.3 L/day of total water. This includes approximately 1.8 L (≈ 8 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,>18 years men,"3.7 L/day of total water. This includes approximately 3.0 L (≈ 13 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,>18 years women,"2.7 L/day of total water. This includes approximately 2.2 L (≈ 9 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,Pregnant women,"3.0 L/day of total water. This includes approximately 2.3 L (≈ 10 cups) as total beverages, including drinking water."
https://www.miniwebtool.com/how-much-water-to-drink-a-day/,Lactating women,"3.8 L/day of total water. This includes approximately 3.1 L (≈ 13 cups) as total beverages, including drinking water."
