Table_1
url,Number,Number_link,Year,Venue,Performer
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,I,https://en.wikipedia.org/wiki/Super_Bowl_I,1967,"Los Angeles Memorial Coliseum, California; ,","The Pride of Arizona, Michigan Marching Band, and UCLA choir"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,II,https://en.wikipedia.org/wiki/Super_Bowl_II,1968,"Orange Bowl, Miami; ,",GSU Tiger Marching Band
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,III,https://en.wikipedia.org/wiki/Super_Bowl_III,1969,"Orange Bowl, Miami; ,","Lloyd Geisler of the Washington National Symphony Orchestra[2]
 An NFL.com reference ([1]) states that Anita Bryant performed the anthem, but NBC's broadcast of game, available from the Paley Center for Media's collection, shows that Geisler performed it."
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,IV,https://en.wikipedia.org/wiki/Super_Bowl_IV,1970,"Tulane Stadium, New Orleans; ,",Al Hirt
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,V,https://en.wikipedia.org/wiki/Super_Bowl_V,1971,"Orange Bowl, Miami; Orange Bowl, Miami",Tommy Loy (trumpet)
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,VI,https://en.wikipedia.org/wiki/Super_Bowl_VI,1972,"Tulane Stadium, New Orleans; Tulane Stadium, New Orleans",U.S. Air Force Academy Chorale
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,VII,https://en.wikipedia.org/wiki/Super_Bowl_VII,1973,Los Angeles Memorial Coliseum; Los Angeles Memorial Coliseum,Little Angels (children's choir) of Chicago's Holy Angels Church
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,VIII,https://en.wikipedia.org/wiki/Super_Bowl_VIII,1974,"Rice Stadium, Houston, Texas; ,",Charley Pride
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,IX,https://en.wikipedia.org/wiki/Super_Bowl_IX,1975,"Tulane Stadium, New Orleans; Tulane Stadium, New Orleans",GSU Tiger Marching Band (2)
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,X,https://en.wikipedia.org/wiki/Super_Bowl_X,1976,"Orange Bowl, Miami; Orange Bowl, Miami",Tom Sullivan
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XI,https://en.wikipedia.org/wiki/Super_Bowl_XI,1977,"Rose Bowl, Pasadena, California; ,","None (Vikki Carr sang ""America the Beautiful"")"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XII,https://en.wikipedia.org/wiki/Super_Bowl_XII,1978,"Louisiana Superdome, New Orleans; , New Orleans",Phyllis Kelly of Northeast Louisiana University
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XIII,https://en.wikipedia.org/wiki/Super_Bowl_XIII,1979,"Orange Bowl, Miami; Orange Bowl, Miami",The Colgate Thirteen
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XIV,https://en.wikipedia.org/wiki/Super_Bowl_XIV,1980,"Rose Bowl, Pasadena; Rose Bowl, Pasadena",Cheryl Ladd
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XV,https://en.wikipedia.org/wiki/Super_Bowl_XV,1981,"Superdome, New Orleans; Superdome, New Orleans",Helen O'Connell
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XVI,https://en.wikipedia.org/wiki/Super_Bowl_XVI,1982,"Pontiac Silverdome, Pontiac, Michigan; ,",Diana Ross
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XVII,https://en.wikipedia.org/wiki/Super_Bowl_XVII,1983,"Rose Bowl, Pasadena; Rose Bowl, Pasadena",Leslie Easterbrook
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XVIII,https://en.wikipedia.org/wiki/Super_Bowl_XVIII,1984,"Tampa Stadium, Tampa, Florida; ,",Barry Manilow
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XIX,https://en.wikipedia.org/wiki/Super_Bowl_XIX,1985,"Stanford Stadium, Stanford, California; ,","San Francisco Boys Chorus, San Francisco Girls Chorus, Piedmont Children's Chorus, and San Francisco Children's Chorus"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XX,https://en.wikipedia.org/wiki/Super_Bowl_XX,1986,"Superdome, New Orleans; Superdome, New Orleans",Wynton Marsalis (trumpet)
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXI,https://en.wikipedia.org/wiki/Super_Bowl_XXI,1987,"Rose Bowl, Pasadena; Rose Bowl, Pasadena",Neil Diamond
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXII,https://en.wikipedia.org/wiki/Super_Bowl_XXII,1988,"Jack Murphy Stadium, San Diego; ,",Herb Alpert (trumpet)
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXIII,https://en.wikipedia.org/wiki/Super_Bowl_XXIII,1989,"Joe Robbie Stadium, Miami; , Miami",Billy Joel
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXIV,https://en.wikipedia.org/wiki/Super_Bowl_XXIV,1990,"Superdome, New Orleans; Superdome, New Orleans",Aaron Neville
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXV,https://en.wikipedia.org/wiki/Super_Bowl_XXV,1991,"Tampa Stadium, Tampa; Tampa Stadium, Tampa",Whitney Houston with The Florida Orchestra directed by Jahja Ling
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXVI,https://en.wikipedia.org/wiki/Super_Bowl_XXVI,1992,"Metrodome, Minneapolis; ,","Harry Connick, Jr.
 ASL (American Sign Language): Lori Hilary"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXVII,https://en.wikipedia.org/wiki/Super_Bowl_XXVII,1993,"Rose Bowl, Pasadena; Rose Bowl, Pasadena","Garth Brooks
 ASL: Marlee Matlin"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXVIII,https://en.wikipedia.org/wiki/Super_Bowl_XXVIII,1994,"Georgia Dome, Atlanta; ,","Natalie Cole
 ASL: Courtney Keel Foley"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXIX,https://en.wikipedia.org/wiki/Super_Bowl_XXIX,1995,"Joe Robbie Stadium, Miami; Joe Robbie Stadium, Miami","Kathie Lee Gifford
 ASL: Heather Whitestone"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXX,https://en.wikipedia.org/wiki/Super_Bowl_XXX,1996,"Sun Devil Stadium, Tempe, Arizona; ,","Vanessa L. Williams
 ASL: Mary Kim Titla"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXI,https://en.wikipedia.org/wiki/Super_Bowl_XXXI,1997,"Superdome, New Orleans; Superdome, New Orleans","Luther Vandross
 ASL: Erika Rachael Schwarz"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXII,https://en.wikipedia.org/wiki/Super_Bowl_XXXII,1998,"Qualcomm Stadium, San Diego; , San Diego","Jewel
 ASL: Phyllis Frelich"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXIII,https://en.wikipedia.org/wiki/Super_Bowl_XXXIII,1999,"Pro Player Stadium, Miami; , Miami","Cher
 ASL: Speaking Hands"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXIV,https://en.wikipedia.org/wiki/Super_Bowl_XXXIV,2000,"Georgia Dome, Atlanta; Georgia Dome, Atlanta","Faith Hill
 ASL: Briarlake Elementary School Signing Choir"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXV,https://en.wikipedia.org/wiki/Super_Bowl_XXXV,2001,"Raymond James Stadium, Tampa; , Tampa","Backstreet Boys
 AASL: Tom Cooney"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXVI,https://en.wikipedia.org/wiki/Super_Bowl_XXXVI,2002,"Superdome, New Orleans; Superdome, New Orleans","Mariah Carey
 ASL: Joe Narcisse"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXVII,https://en.wikipedia.org/wiki/Super_Bowl_XXXVII,2003,"Qualcomm Stadium, San Diego; Qualcomm Stadium, San Diego","Dixie Chicks
 ASL: Janet Maxwell"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXVIII,https://en.wikipedia.org/wiki/Super_Bowl_XXXVIII,2004,"Reliant Stadium, Houston; , Houston","Beyoncé
 ASL: Suzanna Christy"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XXXIX,https://en.wikipedia.org/wiki/Super_Bowl_XXXIX,2005,"Alltel Stadium, Jacksonville, Florida; ,","Combined choirs of the U.S. Military Academy, the U.S. Naval Academy, the U.S. Air Force Academy (2), and the U.S. Coast Guard Academy, and the U.S. Army Herald Trumpets
 ASL: Wesley Tallent"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XL,https://en.wikipedia.org/wiki/Super_Bowl_XL,2006,"Ford Field, Detroit; ,","Aaron Neville (2) and Aretha Franklin,
 Dr. John (piano accompaniment)
 ASL: Angela LaGuardia"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLI,https://en.wikipedia.org/wiki/Super_Bowl_XLI,2007,"Dolphin Stadium, Miami Gardens, Florida; ,","Billy Joel (2)
 ASL: Marlee Matlin (2)"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLII,https://en.wikipedia.org/wiki/Super_Bowl_XLII,2008,"University of Phoenix Stadium, Glendale, Arizona; ,","Jordin Sparks
 ASL: A Dreamer[3]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLIII,https://en.wikipedia.org/wiki/Super_Bowl_XLIII,2009,"Raymond James Stadium, Tampa, Florida; Raymond James Stadium, Tampa, Florida","Jennifer Hudson
 ASL: Kristen Santos"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLIV,https://en.wikipedia.org/wiki/Super_Bowl_XLIV,2010,"Sun Life Stadium, Miami Gardens; , Miami Gardens","Carrie Underwood
 ASL: Kinesha Battles"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLV,https://en.wikipedia.org/wiki/Super_Bowl_XLV,2011,"Cowboys Stadium, Arlington, Texas; ,","Christina Aguilera
 ASL: Candice Villesca[4]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLVI,https://en.wikipedia.org/wiki/Super_Bowl_XLVI,2012,"Lucas Oil Stadium, Indianapolis; ,","Kelly Clarkson
 ASL: Rachel Mazique[5]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLVII,https://en.wikipedia.org/wiki/Super_Bowl_XLVII,2013,"Mercedes-Benz Superdome, New Orleans; , New Orleans","Alicia Keys[6]
 ASL: John Maucere[7]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLVIII,https://en.wikipedia.org/wiki/Super_Bowl_XLVIII,2014,"MetLife Stadium, East Rutherford, New Jersey; ,","Renée Fleming
 ASL: Amber Zion"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,XLIX,https://en.wikipedia.org/wiki/Super_Bowl_XLIX,2015,"University of Phoenix Stadium, Glendale, Arizona[8]; ,","Idina Menzel
 ASL: Treshelle Edmond[9]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,50,https://en.wikipedia.org/wiki/Super_Bowl_50,2016,"Levi's Stadium, Santa Clara, California; ,","Lady Gaga
 ASL: Marlee Matlin (3)[10]"
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,LI,https://en.wikipedia.org/wiki/Super_Bowl_LI,2017,"NRG Stadium, Houston, Texas; ,","Luke Bryan
 ASL: Kriston Lee Pumphery[11]."
https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl,LII,https://en.wikipedia.org/wiki/Super_Bowl_LII,2018,"U.S. Bank Stadium, Minneapolis, Minnesota; ,","Pink
 ASL: Alexandria Wailes[12]."
