Graphics_Card_Cooler
url,Product_Image,Product_Image_alt,Product_Image_link,Regular_Price,Product_Name,Product_Name_link,Cooling_Capacity,Noise,NVIDIA,AMD
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_hybrid_iii_120_b00.png,Accelero Hybrid III-120,https://www.arctic.ac/us_en/accelero-hybrid-iii-120.html,USD 119.99,Accelero Hybrid III-120,https://www.arctic.ac/us_en/accelero-hybrid-iii-120.html,300W,0.3 Sone,"Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , Titan X, 980(Ti), 970, 960, Titan(Black), 780(Ti), 770,; ...","RX 580, 570, 480, 470, R9 390(X), 380(X), 370X, 290(X), 285,; 280(X)*; , 270(X), R7 370, 265, HD 7870(XT, GHz),; ..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_xtreme_iv_b00_3.png,Accelero Xtreme IV,https://www.arctic.ac/us_en/accelero-xtreme-iv.html,USD 89.99,Accelero Xtreme IV,https://www.arctic.ac/us_en/accelero-xtreme-iv.html,300W,"0.4 Sone @ 2,000 RPM","Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , Titan X, 980(Ti), 970, Titan (Black), 780(Ti), 770,; …","RX 580, 570, 480, 470, R9 390(X), 380(X), 370X, 290(X), 285,; 280(X)*; , 270(X) ,R7 370, 265, HD 8870,; ..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_xtreme_iv_280x_b00_1.png,Accelero Xtreme IV 280(X),https://www.arctic.ac/us_en/accelero-xtreme-iv-280-x.html,USD 89.99,Accelero Xtreme IV 280(X),https://www.arctic.ac/us_en/accelero-xtreme-iv-280-x.html,300W,"0.4 Sone @ 2,000 RPM","Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , Titan X, 980(Ti), 970, Titan (Black), 780 (Ti), 770, 760,; ...; RX 580, 570, 480, 470, R9 390(X), 380(X), 370X, 290(X), 285, 280(X) ,270(X), R7 370, 265, HD 8970, 8950,; ...","Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , Titan X, 980(Ti), 970, Titan (Black), 780 (Ti), 770, 760,; ...; RX 580, 570, 480, 470, R9 390(X), 380(X), 370X, 290(X), 285, 280(X) ,270(X), R7 370, 265, HD 8970, 8950,; ..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_xtreme_iii_b00_2.png,Accelero Xtreme III,https://www.arctic.ac/us_en/accelero-xtreme-iii.html,USD 89.99,Accelero Xtreme III,https://www.arctic.ac/us_en/accelero-xtreme-iii.html,300W,"0.4 Sone @ 2,000 RPM","Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , Titan X, 980 (Ti), 970, Titan(Black), 780(Ti), 770, 760(Ti),; …","R9 390(X), 380(X), 370X, 290(X), 285,; 280(X)*; , 270(X), R7 370, 265, HD 8870, 7970 (GHz), 7950 (Boost),; ..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_twin_turbo_iii_b00.png,Accelero Twin Turbo III,https://www.arctic.ac/us_en/accelero-twin-turbo-iii.html,USD 89.99,Accelero Twin Turbo III,https://www.arctic.ac/us_en/accelero-twin-turbo-iii.html,250W,"0.3 Sone @ 2,000 RPM","Titan Xp, Titan X(Pascal), GTX 1080(Ti), 1070 (Ti), 1060; , 1050(Ti), Titan X, 980(Ti), 970, 960, Titan*(Black*),; ,...","RX 580, 570, 480, 470, 460; , R9 380(X), 370X, 285, 270(X), R7 370, 360, 265, 260(X), 250(X), 240, HD 8870, 8760,..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_twin_turbo_ii_b00.png,Accelero Twin Turbo II,https://www.arctic.ac/us_en/accelero-twin-turbo-ii.html,USD 59.99,Accelero Twin Turbo II,https://www.arctic.ac/us_en/accelero-twin-turbo-ii.html,250W,"0.3 Sone @ 2,000 RPM","GTX 1080, 1070 (Ti), 1060; , 1050(Ti),980, 970, 960, 770, 760, 750(Ti), 680, 670, 660(Ti), 650(Ti, Ti boost), 580,; …","RX 460; , R9 380(X), 370X, 285, 270(X), R7 370, 360, 265, 260(X), 250(X), 240, HD 8870, 8760,..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_twinturbo_6990_b00.png,Accelero Twin Turbo 6990,https://www.arctic.ac/us_en/accelero-twin-turbo-6990.html,USD 99.99,Accelero Twin Turbo 6990,https://www.arctic.ac/us_en/accelero-twin-turbo-6990.html,400W,"0.4 Sone @ 1,500 RPM",HD 6990,HD 6990
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_twin_turbo_690_b00.png,Accelero Twin Turbo 690,https://www.arctic.ac/us_en/accelero-twin-turbo-690.html,USD 99.99,Accelero Twin Turbo 690,https://www.arctic.ac/us_en/accelero-twin-turbo-690.html,400W,"0.4 Sone @ 1,500 RPM",GTX 690,GTX 690
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/a/c/accelero_s3_b00_2.png,Accelero S3,https://www.arctic.ac/us_en/accelero-s3.html,USD 39.99,Accelero S3,https://www.arctic.ac/us_en/accelero-s3.html,135W,0 Sone,"GTX 1070** (Ti**), 1060; , 1050(Ti), 960, 760**, 750(Ti), 680**, 670**, 660(Ti**), 650(Ti*,Ti boost**), 560**(Ti**,SE**),; ...","RX 580**, 570**, 480**, 470*,
460; , R9 370X**,; 280**; , 270**(X**), R7 370*, 360*, 265**, 260(X*), 250(X), 240,; ..."
https://www.arctic.ac/us_en/products/cooling/vga.html,https://static.arctic.ac/media/catalog/product/cache/4/small_image/300x150/9df78eab33525d08d6e5fb8d27136e95/s/3/s3_turbo_module_b00.png,S3 Turbo Module,https://www.arctic.ac/us_en/s3-turbo-module.html,USD 12.99,S3 Turbo Module,https://www.arctic.ac/us_en/s3-turbo-module.html,0.25 Sone,,,
