Table_1
url,Date,Date_link,Venue,Venue_link,Location,Location_link
http://iprevailband.com/tour,May 11,https://www.bandsintown.com/e/22108125?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Anthem at Hard Rock Hotel & Casino,https://www.bandsintown.com/e/22108125?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Sioux City, IA",https://www.bandsintown.com/e/22108125?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 12,https://www.bandsintown.com/e/20853345?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Somerset Amphitheater,https://www.bandsintown.com/e/20853345?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Somerset, WI",https://www.bandsintown.com/e/20853345?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 18,https://www.bandsintown.com/e/20809545?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,WIXO Spring Fling,https://www.bandsintown.com/e/20809545?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Peoria, IL",https://www.bandsintown.com/e/20809545?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 19,https://www.bandsintown.com/e/22108129?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Lafeyette Theater,https://www.bandsintown.com/e/22108129?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Lafayette, IN",https://www.bandsintown.com/e/22108129?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 20,https://www.bandsintown.com/e/21471693?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Mapfre Stadium,https://www.bandsintown.com/e/21471693?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Columbus, OH",https://www.bandsintown.com/e/21471693?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 25,https://www.bandsintown.com/e/21657324?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Rocklahoma,https://www.bandsintown.com/e/21657324?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Pryor, OK",https://www.bandsintown.com/e/21657324?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,May 26,https://www.bandsintown.com/e/21350454?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Starplex Pavillion,https://www.bandsintown.com/e/21350454?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Dallas, TX",https://www.bandsintown.com/e/21350454?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,Jun 01,https://www.bandsintown.com/e/22108130?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,The Apollo Theatre,https://www.bandsintown.com/e/22108130?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Genoa, IL",https://www.bandsintown.com/e/22108130?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,Jun 02,https://www.bandsintown.com/e/21845967?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Rockfest,https://www.bandsintown.com/e/21845967?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Kansas City, KS",https://www.bandsintown.com/e/21845967?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,Jun 03,https://www.bandsintown.com/e/22108124?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Pop's,https://www.bandsintown.com/e/22108124?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Sauget, IL",https://www.bandsintown.com/e/22108124?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,Jul 28,https://www.bandsintown.com/e/21658558?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Heavy Montreal,https://www.bandsintown.com/e/21658558?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Montreal, Canada",https://www.bandsintown.com/e/21658558?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
http://iprevailband.com/tour,Jul 29,https://www.bandsintown.com/e/21658571?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,Heavy Montreal,https://www.bandsintown.com/e/21658571?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com,"Montreal, Canada",https://www.bandsintown.com/e/21658571?app_id=js_iprevailband.com&came_from=242&affil_code=js_iprevailband.com
